ID,Description,NES,pval,padj,size,leadingEdge
WP2446,Retinoblastoma gene in cancer,-2.6398389450825097,2.8829375735092975e-16,2.0757150529266943e-13,87,CHEK1;CCNA2;MCM6;ORC1;CCNB1;TYMS;DNMT1;CDC25A;RRM2;MCM3;PCNA;KIF4A;TOP2A;TTK;STMN1;H2AZ1;CDK1;PLK4;CDC45;CCNB2;CCNE1;HDAC1;CDK4;ANLN;E2F3;E2F1;CDC25B;CDT1;CCNE2;PRKDC;SMC1A;RABIF;MCM4;SMC2;CDC7;RFC4;POLE2;RB1;RFC3;TFDP1;MSH6;SAP30;RPA3;PRIM1;MCM7;POLD3;CCND3;RFC5;RRM1;SUV39H1;HMGB2;TP53
WP2004,miR targeted genes in lymphocytes,-2.015065422922453,5.797725919978078e-14,2.0871813311921083e-11,405,TRIP13;UHRF1;TYMS;ANPEP;PKM;LMNB2;PLK1;CAP1;MTHFD2;TPM4;GNPNAT1;SRPRB;TPM3;ARCN1;PPIB;MPDU1;AP3B1;SPCS3;SFXN1;RAI14;CIAO2A;PHC2;AP3D1;GALNT1;COL4A2;UBE2S;WNT5A;E2F3;AURKB;HMOX1;GNAI2;SH3BGRL3;PPP5C;ARHGDIA;IQGAP3;SLC25A24;ABCF2;ARF4;E2F1;TMED2;PDLIM7;RHOG;AP2A1;MTPN;SRSF9;SEC24A;ACP2;TMED7;SLC25A13;FNDC3B;NEDD4;PAFAH1B2;NF2;HNRNPM;RAB5C;POLA2;LAMC1;SMC1A;PWP1;SEC23A;NT5E;TPM2;C1QBP;SCYL1;PTPA;RB1;LRRC8A;SERP1;TRAM1;EIF4E;RHEB;ATG3;RFT1;VCAM1;WDFY1;PTBP1;HACD3;CTNNB1;RARS1;PXDN;DCAF7;TMED10;MAPK12;CBFB;PEDS1-UBE2V1;CORO1C;SNX6;PANX1;KPNA3;MOV10;GNL3L;PLXND1;NUCB1;LAMTOR5;SLC25A22;PDLIM5;P4HA2;NCL;UBE2J1;MRPS24;NAA15;LUZP1;PNP;NRP1;CAND1;PPIF;SNAP23;PRIM1;ADPGK;RAB34;CYP1B1;CLOCK;ATP6V1C1;MYO1E;COMMD9;MYO10;HARS1;ELMOD2;ATP2A2;IPO4;PDE3A;ATP6V0E1;SIGMAR1;ANP32B;YIF1B;ATP6V1F;CHAF1A;PTPRJ;TUBA1A;WDR82;SSNA1;SAC3D1;NXN;UNC93B1;SLC25A32;ZNF622;TXNRD1;GFM1;CNOT9;POGLUT3;TBCA;MARS2;BACE1;RCN2;MTX1;CSNK1D;ATG9A;CTSC;GALNT7;MAGT1;PTMA;CPOX;GEMIN7;KRAS;TPM1;G6PD;POLR2C;NCEH1;DHX57;TNFRSF10B;TTC9C;MPZL1;RBMS1;TMED3;YWHAQ;CAPG
WP179,Cell cycle,-2.4005072857168632,2.2673686921461467e-13,5.4416848611507525e-11,116,CHEK1;CCNA2;MCM6;ORC1;CCNB1;MCM5;CDC6;MCM2;PLK1;CDC25A;BUB1;MCM3;PCNA;ORC6;TTK;CDK1;CDC20;YWHAH;CDC45;CCNB2;RBL1;TGFB1;CCNE1;HDAC1;CDK4;E2F3;BUB3;CDC25C;PKMYT1;E2F1;CDC25B;MAD2L2;DBF4;PTTG1;CCNE2;PRKDC;SMC1A;E2F4;MCM4;CDC7;CHEK2;RB1;ANAPC11;CDC27;TFDP1;HDAC2;ESPL1;RBX1;MCM7;YWHAE
WP3888,VEGFA VEGFR2 signaling,-1.9605263229837133,1.4756162494357796e-12,2.6561092489844033e-10,422,HYOU1;SSR3;CALR;FN1;ITGAV;P4HB;PLOD3;PFN1;CALU;PDIA6;CFL1;ENG;TXNDC5;ELK1;CAPZB;GAPDH;LMAN1;AP2S1;LRRC59;PPM1G;RCN1;MICAL2;ITGB3;SDF2L1;ADAM10;COPG1;PGK1;ACTG1;BIRC5;TPM3;CLTC;PLAU;ADAMTS9;PGF;ASCC3;TEAD4;HDAC1;MYH9;CLIC1;FMNL3;STIP1;SHC1;RHOC;MMP14;SND1;FADD;PTPN9;SH3BGRL3;MMP10;TUBA1C;PPP1CA;ABCF2;ARF4;BCAR1;ADAM9;CCT7;PBK;AP2A1;TRPC3;ETS1;FSCN1;GRB2;HLX;PLAUR;NRP2;EPRS1;CDC42;FHOD1;TMSB10;FAM120A;MAPKAPK2;LDHA;AKT1;RAP1B;CSK;PRKCA;EIF4E;TPP1;CTNNB1;MAPK12;ELOC;EIF4G1;MOV10;PLCB3;SRP54;CDH5;SET;LIMK1;P4HA2;NCL;PNP;EIF4G2;KDR;PAK2;PTPN1;SH2D2A;SSR4;IDH2;CCRL2;EPN1;ATP6V0D1;YWHAE;RHOA;CCDC124;TMSB4X;CYBB;UBAP2L;VCL;SRC;CYCS;ALDOA;CXCL8;ELOA;ITGB1;C15orf39;PSMD4;CNP;ACOT9;PTPRJ;FJX1;WASF1;HGS;IGFBP7;ARRB2;VAV2;NOX4;NAP1L1;ATF6;PDE4DIP;CRK;ACP1;ABL1;FARSB;TBCA;RCAN1;RAPGEF1;USP10;RAC1;BSG;PTMA;PSMD11;GRSF1;CHAC1;CCL2;PGD;NCF2;MIR1915HG;FLII;EPHB2;TMOD3;SRF;MAP2K3;MAP2K2;SOD2;PIK3R2;MAPKAP1;GPX1;CBL;S1PR1;GRB10
WP2006,miR targeted genes in squamous cell,-2.2217622837396362,2.3067175339184896e-10,3.321673248842625e-8,122,ANPEP;PKM;SRPRB;TPM3;ARCN1;SPCS3;RAI14;CIAO2A;AP3D1;GALNT1;E2F3;HMOX1;GNAI2;SH3BGRL3;ARF4;TMED2;PDLIM7;AP2A1;MTPN;SRSF9;TMED7;FNDC3B;NEDD4;NF2;HNRNPM;LAMC1;PWP1;SEC23A;TRAM1;RHEB;VCAM1;RARS1;PXDN;TMED10;CBFB;PEDS1-UBE2V1;MOV10;LAMTOR5;P4HA2;NCL;UBE2J1;PNP;NRP1;THBS1;RAB34;ATP6V1C1;COMMD9;ATP2A2;ATP6V0E1;SIGMAR1;ANP32B;ATP6V1F;TUBA1A;PODXL;TXNRD1;POGLUT3;TBCA;GALNT7;MAGT1;PTMA;TPM1;POLR2C;DHX57;TNFRSF10B;MPZL1;YWHAQ
WP5153,N glycan biosynthesis,-2.317177508700798,3.5536484231823305e-9,3.7536484367940157e-7,55,MGAT2;RPN2;GANAB;DDOST;RPN1;STT3A;ALG2;MGAT5;MPDU1;ALG1;MAN2A1;PMM2;SRD5A3;DPAGT1;ALG3;MGAT4A;DPM2;B4GALT1;MGAT4B;DOLK;MGAT1;RFT1;ALG5;GMPPA;GMPPB;TUSC3;DAD1;ALG8;MAN1B1
WP183,Proteasome degradation,-2.3143180708728663,3.6493804246608483e-9,3.7536484367940157e-7,60,RPN2;RPN1;H2AZ1;H2AX;PSMB2;PSMB5;PSMA5;PSMD2;NEDD4;PSME3;PSMC3;PSMD13;PSMA6;PSMD1;PSMD7;PSMB3;PSMA4;PSMA1;PSMD3;PSMC4;HLA-A;PSMA7;PSMD9;PSMB6;PSMC5;PSME2;PSMB7;PSMA3;UBE2D1;PSMD10;PSMD12;PSMB10;PSMD4;PSMA2;HLA-C;HLA-B;PSMC2;PSMB8;HLA-G;PSMB1;PSMD11;UBA1;PSMC1;PSMB9;UCHL1;UBB;PSMB4;PSMD6;PSMD8;UBE2D2;UBE2D3
WP2005,miR targeted genes in muscle cell,-1.8658500300040768,9.807775016888132e-9,8.826997515199319e-7,329,UHRF1;TYMS;ANPEP;PKM;LMNB2;PLK1;MTHFD2;TPM4;GNPNAT1;SRPRB;TPM3;ARCN1;PPIB;AP3B1;SPCS3;SFXN1;RAI14;CIAO2A;AP3D1;GALNT1;WNT5A;E2F3;HMOX1;SH3BGRL3;ARHGDIA;SLC25A24;ARF4;E2F1;TMED2;PDLIM7;RHOG;MTPN;SRSF9;SEC24A;ACP2;TMED7;SLC25A13;FNDC3B;NEDD4;PAFAH1B2;NF2;POLA2;LAMC1;PWP1;SEC23A;NT5E;TPM2;C1QBP;SCYL1;PTPA;RB1;LRRC8A;SERP1;TRAM1;EIF4E;RHEB;RFT1;WDFY1;HACD3;CTNNB1;RARS1;PXDN;TMED10;MAPK12;CBFB;CORO1C;SNX6;PANX1;KPNA3;MOV10;GNL3L;NUCB1;LAMTOR5;PDLIM5;P4HA2;NCL;UBE2J1;MRPS24;NAA15;LUZP1;NRP1;CAND1;PPIF;SNAP23;THBS1;RAB34;CYP1B1;CLOCK;ATP6V1C1;MYO1E;COMMD9;MYO10;ELMOD2;ATP2A2;IPO4;PDE3A;ATP6V0E1;ANP32B;PTPRJ;WDR82;SLC7A11;PODXL;SSNA1;NXN;SLC25A32;ZNF622;TXNRD1;GFM1;CNOT9;POGLUT3;COL3A1;TBCA;BACE1;RCN2;CSNK1D;ATG9A;CTSC;GALNT7;MAGT1;PTMA;CPOX;GEMIN7;KRAS;TPM1;SRF;G6PD;POLR2C;NCEH1;TNFRSF10B;TTC9C;MPZL1;RBMS1;TMED3;YWHAQ;COL1A1;CAPG
WP2003,miR targeted genes in leukocytes,-2.0799975728018985,1.7401350247485468e-8,1.3921080197988374e-6,126,TYMS;ANPEP;PKM;LMNB2;CAP1;MTHFD2;TPM3;ARCN1;PPIB;MPDU1;SFXN1;PHC2;AP3D1;HMOX1;GNAI2;SH3BGRL3;ARHGDIA;ARF4;RHOG;SEC24A;ACP2;HNRNPM;RAB5C;SCYL1;PTPA;TRAM1;RFT1;WDFY1;CTNNB1;DCAF7;TMED10;CORO1C;SNX6;PLXND1;PDLIM5;PNP;PPIF;SNAP23;ADPGK;THBS1;RAB34;ATP2A2;ATP6V0E1;ATP6V1F;TUBA1A;SLC7A11;SAC3D1;UNC93B1
WP466,DNA replication,-2.372272501219969,2.669521878475129e-8,1.747323411365539e-6,41,MCM6;ORC1;MCM5;CDC6;MCM2;MCM3;PCNA;ORC6;CDC45;POLD1;MCM10;DBF4;PRIM2;CDT1;POLA2;MCM4;CDC7;RFC4;POLE2;RFC2;RFC3;GMNN;RPA3;PRIM1;MCM7;POLD3;RFC5
