ID,NES,pval,padj,size,leadingEdge
GO:0051301,-2.3809467206613544,7.260772921326314e-16,1.3868076279733258e-12,200,AURKA;TUBA1B;SGO1;HMGA2;CCNA2;RUVBL1;CCNB1;MAD2L1;CENPF;TPX2;TIMELESS;CDC6;TUBB;NCAPH;CDC25A;PSRC1;BUB1;CDCA5;NCAPG2;KIF2C;CDK1;CDC20;BUB1B;RCC1;CENPE;UBE2C;BIRC5;CCNB2;RAN;CLTC;TACC3;CCNE1;CDK4;UBE2S;BUB3;GNAI2;DYNLT1;MAPRE1;CDC25C;TUBA1C;PPP1CA;BCAR1;CDC25B;MAD2L2;NEK2;SGO2;CKS2;CDT1;PTTG1;CCNE2;SMC4;NUP37;SMC1A;KIF20B;PELO;CENPS;SMC2;CDC7;CHEK2;RB1;INTS13;CKAP5;ANAPC11;KNSTRN;CLTA;ATXN10;CDC27
GO:0007094,-2.4338601266000763,3.494956015603617e-10,3.3376829949014544e-7,16,TRIP13;MAD2L1;CENPF;PLK1;BUB1;TTK;CDC20;BUB1B;BIRC5;BUB3;MAD2L2
GO:0006487,-2.3092643892841163,2.0399174193548467e-8,1.298747423655919e-5,45,MGAT2;RPN2;DDOST;RPN1;STT3A;ALG2;MGAT5;ALG1;PMM2;SLC39A8;DPAGT1;ALG3;MGAT4A;B4GALT1;MGAT4B;DOLK;EXT2;MGAT1;RFT1;FUT4;ST3GAL1;ALG5;B4GALT7;TUSC3;DAD1;ALG8
GO:0006457,-2.2297452648450466,3.151389439329505e-8,1.5047884572798387e-5,81,PDIA4;HYOU1;CALR;P4HB;FKBP1A;PDIA3;PDIA6;TXNDC5;CCT5;LMAN1;PPIL1;SACS;PPIB;MPDU1;HSPA4;CCT3;P3H1;HSP90B1;DNAJB11;CANX;CCT2;CCT6A;CCT7;HSPA8;KHSRP;CCT8;FKBP10;PPIA;RUVBL2;DNAJC7;PFDN6;PPIF;AHSA1;CCT4;SIL1;VBP1;RP2;PFDN2;CDC37;PFDN1;ATF6;ALG12;NUDC;TBCA;PFDN4
GO:0000278,-2.1617569594768007,5.115512962228275e-8,1.954125951571201e-5,80,AURKA;TUBA1B;MYBL2;CENPF;TPX2;KIF15;TUBB;PLK1;WDHD1;CDCA5;CENPE;BIRC5;RAN;CLTC;XRCC2;AURKB;PPP5C;TUBA1C;TUBB3;PKMYT1;CDC25B;NEK2;PBK;TUBG1;CDT1;TUBB6;ANAPC11
GO:0007059,-2.2151879976223787,1.5689253722674393e-7,4.994412435051348e-5,51,SGO1;CENPF;MKI67;HJURP;BUB1;ESCO2;TOP2A;TTK;DIAPH3;BRCA1;RCC1;CENPE;DLGAP5;BIRC5;CIAO2A;NEK2;SGO2;NUP37;CENPS;KNSTRN;CIAO2B
GO:0007052,-2.278643019673475,2.671612631923659e-7,7.289685895677412e-5,33,AURKA;CCNB1;PLK1;KIF4A;TTK;STMN1;RCC1;CENPE;DLGAP5;BIRC5;RAN;TACC3;AURKB;TUBG1;PTPA;INTS13;CKAP5
GO:0090307,-2.308392555993418,6.598752300675739e-7,1.479410239736848e-4,25,MYBL2;UHRF1;TPX2;KIF15;CDC20;BIRC5;KPNB1;AURKB;NEK2;FLNA;SMC1A;CHEK2
GO:0006888,-2.261860689529151,6.971043014466823e-7,1.479410239736848e-4,36,HYOU1;TMED9;P4HB;LMAN1;COPG1;ARCN1;LMAN2;TMED1;VCP;ARF4;TMED2;SEC24D;SEC24A;TMED7;TFG;SEC31A;TMED10
GO:0006281,-1.8911949745757541,1.0241754036866302e-6,1.9561750210414638e-4,171,CHEK1;CLSPN;RAD51;FEN1;RUVBL1;BLM;FOXM1;EXO1;TIMELESS;RAD54L;WDHD1;CDK1;BRCA1;UBE2T;BRIP1;POLD1;XRCC2;TDP1;VCP;PARP1;NONO;CGAS;PTTG1;SMC1A;CENPS;ZMPSTE24;RFC4;POLE2;ACTL6A;RFC2;RFC3;TOP3A;MACROH2A1;DDB1;MSH6;TOPBP1;RUVBL2;APEX1;RPA3;RBX1;PARK7;CHD1L;HDGFL2;NABP2;TRIM28;RECQL;RFC5;RRM1;RECQL4;HUS1;CHAF1A;SMARCAL1;SMARCA5;MCRS1;GTF2H3
