ID,Description,direction,cam_FDR,fg_FDR,fgsea_NES
WP2446,Retinoblastoma gene in cancer,Down,1.4723117469419218e-7,2.0757150529266946e-13,-2.6398389450825097
WP183,Proteasome degradation,Down,1.0491207641328006e-6,3.753648436794016e-7,-2.3143180708728663
WP466,DNA replication,Down,2.9748893773603807e-5,1.747323411365539e-6,-2.372272501219969
WP5153,N glycan biosynthesis,Down,4.6345365725838e-4,3.753648436794016e-7,-2.317177508700798
WP179,Cell cycle,Down,0.00172885629551691,5.4416848611507525e-11,-2.4005072857168632
WP2006,miR targeted genes in squamous cell,Down,0.00208171127482512,3.3216732488426256e-8,-2.221762283739636
WP4016,DNA IR damage and cellular response via ATR,Down,0.00225953388918563,1.747323411365539e-6,-2.2375128664844173
WP716,Vitamin A and carotenoid metabolism,Up,0.00225953388918563,0.00106868520548806,2.1979046393628976
WP4240,Regulation of sister chromatid separation at the metaphase anaphase transition,Down,0.00225953388918563,0.00161337440542824,-2.042650655024376
WP4784,Proteoglycan biosynthesis,Down,0.00225953388918563,0.00221425677140404,-2.058599474732046
WP2003,miR targeted genes in leukocytes,Down,0.00280503490363197,1.3921080197988374e-6,-2.0799975728018985
WP4290,Metabolic reprogramming in colon cancer,Down,0.00280503490363197,7.584983479093897e-4,-2.070593527320588
WP531,DNA mismatch repair,Down,0.00280503490363197,0.00130249623540114,-2.075453066146537
WP3945,TYROBP causal network in microglia,Down,0.00365209260803182,0.00467053855221444,-1.868006750973611
WP2361,Gastric cancer network 1,Down,0.00442106928481696,3.3626302104488066e-5,-2.2552661612194025
WP5395,Glycosaminoglycan synthesis in fibroblasts,Down,0.00443330391939436,8.544885163935479e-4,-2.019666978312038
WP4786,Type I collagen synthesis in the context of osteogenesis imperfecta,Down,0.00461684515240141,0.00134837297375018,-2.020495511080015
WP4521,Glycosylation and related congenital defects,Down,0.00528298703283404,8.868968770023879e-4,-2.1013451721228984
WP5390,Pancreatic cancer subtypes,Up,0.00877983430223406,0.00475340025656879,2.073313884482452
WP4149,White fat cell differentiation,Up,0.00882380309179889,0.0021675312008489,2.1092504848236167
WP3959,DNA IR double strand breaks and cellular response via ATM,Down,0.01296674601580255,1.5868919730595257e-5,-2.1465477606344217
WP5465,Fanconi anemia,Down,0.01326526197388042,0.00402152458769331,-1.91022932473421
WP5234,Bardet Biedl syndrome,Up,0.01515834356880583,0.00134837297375018,1.8661180283114795
WP5546,22q11 2 distal CNV,Down,0.01795532499438418,3.820188533142795e-4,-1.8933823043517497
WP5049,Glycolysis in senescence,Down,0.01797240047935724,0.01798236084887259,-1.8557262231709972
WP4224,Purine metabolism and related disorders,Down,0.01900672346009296,0.03208671577209641,-1.814198145519361
WP2911,miRNA targets in ECM and membrane receptors,Down,0.01989167073066728,0.0309363521693609,-1.794552156540545
WP2004,miR targeted genes in lymphocytes,Down,0.02008832826254375,2.0871813311921083e-11,-2.015065422922453
WP4022,Pyrimidine metabolism,Down,0.02008832826254375,0.00366881270998056,-1.802194800311189
WP5188,Retinol metabolism,Up,0.02044417471084306,0.01359999057869377,1.9464894115619704
WP3888,VEGFA VEGFR2 signaling,Down,0.02182375779035421,2.6561092489844033e-10,-1.960526322983713
WP3937,Microglia pathogen phagocytosis pathway,Down,0.02182375779035421,0.00139925647022411,-2.040005206384832
WP2272,Pathogenic Escherichia coli infection,Down,0.02300868550453804,9.995207389949664e-4,-1.97894006554887
WP45,G1 to S cell cycle control,Down,0.0239862392654448,8.647863963606518e-5,-2.076133215113648
WP2895,Differentiation of white and brown adipocyte,Up,0.0239862392654448,0.0310292386428608,1.8572343029841252
WP43,Oxidation by cytochrome P450,Up,0.02514130446055831,0.00468816610897551,1.9738746047911364
WP4589,Major receptors targeted by epinephrine and norepinephrine,Up,0.0273054901847713,0.02295809422449104,1.9916709948556304
WP707,DNA damage response,Down,0.03253229274858837,1.0363744010083998e-4,-2.0584668956479235
WP2858,Ectoderm differentiation,Up,0.03700870761417427,0.00154242363669931,1.791557281873606
WP4211,Transcriptional cascade regulating adipogenesis,Up,0.03700870761417427,0.03208671577209641,1.9456656100362304
WP4803,Ciliopathies,Up,0.03961066830255799,0.00134837297375018,1.6686909518709785
WP2005,miR targeted genes in muscle cell,Down,0.04142083643667758,8.826997515199319e-7,-1.8658500300040768
WP4946,DNA repair pathways full network,Down,0.04142083643667758,0.00109025430890507,-1.8172893551385016
WP170,Nuclear receptors,Up,0.04142083643667758,0.01077677679817478,1.8996217065504988
WP3614,Photodynamic therapy induced HIF 1 survival signaling,Down,0.04160405025383594,0.00159617411335345,-2.038933282085564
WP2840,Hair follicle development cytodifferentiation stage 3 of 3,Up,0.04160405025383594,0.023545312543021,1.7127700359970517
WP12,Osteoclast signaling,Down,0.04160405025383594,0.02899700061944815,-1.809334338947243
WP5417,Cell lineage map for neuronal differentiation,Up,0.04434517911153116,0.00488634837237528,1.6923468156831885
WP2363,Gastric cancer network 2,Down,0.04478280835372007,0.03208671577209641,-1.7409496507016555
WP3646,Hepatitis C and hepatocellular carcinoma,Down,0.04632324261824196,0.02077012257842756,-1.728987770062563
WP2359,Parkin ubiquitin proteasomal system pathway,Down,0.04753936551670511,0.00754404594424279,-1.7597133117965185
