ID,Description,direction,cam_FDR,fg_FDR,fgsea_NES
GO:0007094,NA,Down,4.633282354151047e-4,3.337682994901455e-7,-2.4338601266000763
GO:0006487,NA,Down,4.633282354151047e-4,1.298747423655919e-5,-2.3092643892841163
GO:0006457,NA,Down,4.633282354151047e-4,1.5047884572798389e-5,-2.229745264845046
GO:0006270,NA,Down,0.0011441169414266,2.8966480714500255e-4,-2.2430475093645117
GO:0018279,NA,Down,0.00215489604685821,8.11740627093364e-4,-2.1379830502445545
GO:0051301,NA,Down,0.00669383765724819,1.3868076279733258e-12,-2.3809467206613544
GO:0007052,NA,Down,0.00669383765724819,7.289685895677412e-5,-2.278643019673475
GO:0030206,NA,Down,0.00669383765724819,0.00334314963297794,-2.0740536113973356
GO:0019082,NA,Down,0.00669383765724819,0.01546808386875449,-1.9466637214279952
GO:0006888,NA,Down,0.00880434162490905,1.479410239736848e-4,-2.261860689529151
GO:0042572,NA,Up,0.01046107767453653,0.01466977329164405,2.0177512620122027
GO:0030174,NA,Down,0.0117495504154437,0.01116769521597759,-1.9366301842721405
GO:0035987,NA,Down,0.01235710769750761,1.995446939229736e-4,-2.2689410803187244
GO:0030199,NA,Down,0.01235710769750761,6.447594021895342e-4,-2.1225336653195983
GO:0007088,NA,Down,0.01235710769750761,0.00109137279410155,-2.1197286965614786
GO:0000070,NA,Down,0.01235710769750761,0.00129379415345477,-2.1175985613564214
GO:0000086,NA,Down,0.01547602753837957,3.762158901425623e-4,-2.1585198691253433
GO:0006302,NA,Down,0.01900129080499862,0.00308452407402817,-1.9889707056087924
GO:0045494,NA,Up,0.01973218270391456,0.01859135795817132,1.9600588015118727
GO:0006418,NA,Down,0.02047172507494186,0.03364459541776345,-1.8708751622490991
GO:0007059,NA,Down,0.0271820227202381,4.994412435051348e-5,-2.2151879976223787
GO:0035725,NA,Up,0.0271820227202381,0.00293700488272248,2.0035004033400465
GO:0034314,NA,Down,0.02992638767661888,0.0080654509013203,-1.9948320841077205
GO:0061077,NA,Down,0.03786654404461592,0.00493985254712604,-2.000182874270864
GO:1904871,NA,Down,0.03786654404461592,0.01702200049693746,-1.8921665683768727
GO:1903241,NA,Down,0.03786654404461592,0.02242289423108297,-1.912408114696981
GO:0007080,NA,Down,0.04025532873176839,0.00213268804254042,-2.089606296161602
GO:0008589,NA,Up,0.04047072068238466,0.02163583445121694,2.0558985499124
GO:0090307,NA,Down,0.04262412191282408,1.479410239736848e-4,-2.308392555993418
