cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES,in_consensus,solo_high_conf,keep_final
1,WP5193,Cholesterol synthesis disorders,UP,5.483804232776358e-5,1.0179685916450258e-4,2.497606635110071,WP,17,1.0179685916450258e-4,2.497606635110071,FALSE,TRUE,TRUE
2,WP3869,Cannabinoid receptor signaling,UP,2.473991874758983e-4,2.5887929815886613e-5,2.608814370688465,WP,24,2.473991874758983e-4,2.608814370688465,FALSE,TRUE,TRUE
3,WP4875,Disruption of postsynaptic signaling by CNV,UP,0.00237887734712231,0.00295927834710955,2.11298538541378,WP,33,0.00295927834710955,2.11298538541378,FALSE,TRUE,TRUE
4,WP2267,Synaptic vesicle pathway,UP,0.00304315571990636,0.00144847767252179,2.0852043299660377,WP,48,0.00304315571990636,2.0852043299660377,FALSE,TRUE,TRUE
5,WP4222,Phosphodiesterases in neuronal function,UP,0.0084426052430338,0.00288007656045155,2.045125476027102,WP,49,0.0084426052430338,2.045125476027102,FALSE,TRUE,TRUE
6,WP5420,ADHD and autism ASD pathways,UP,0.03032894231120384,1.795177796937765e-7,1.9699907579235172,WP,315,0.03032894231120384,1.9699907579235172,FALSE,TRUE,TRUE
7,WP58,Monoamine GPCRs,UP,0.03636978055038457,0.00537436906248617,2.0552848807303428,WP,29,0.03636978055038457,2.0552848807303428,FALSE,TRUE,TRUE
8,GO:0035249,NA,UP,0.00287296688732962,2.910355213076042e-4,2.395294975818878,GO,35,0.00287296688732962,2.395294975818878,FALSE,TRUE,TRUE
9,WP117,GPCRs other,UP,0.04598286030202893,0.00383859550439882,1.9787179445453669,WP,55,0.04598286030202893,1.9787179445453669,FALSE,TRUE,TRUE
10,GO:0007268,NA,UP,4.21995784412563e-5,1.2778373054965996e-10,2.5857518135564312,GO,144,4.21995784412563e-5,2.5857518135564312,FALSE,TRUE,TRUE
11,GO:0098703,NA,UP,3.30495374575923e-4,4.809442613428147e-4,2.442127301979382,GO,17,4.809442613428147e-4,2.442127301979382,FALSE,TRUE,TRUE
12,GO:0060079,NA,UP,5.79017567244205e-4,2.910355213076042e-4,2.336372377693145,GO,44,5.79017567244205e-4,2.336372377693145,FALSE,TRUE,TRUE
13,GO:0014059,NA,UP,0.00159724496216293,7.472306392228792e-4,2.3691409943980366,GO,13,0.00159724496216293,2.3691409943980366,FALSE,TRUE,TRUE
14,GO:0007612,NA,UP,0.00175988689118953,0.00147124403842275,2.207719798556577,GO,43,0.00175988689118953,2.207719798556577,FALSE,TRUE,TRUE
15,GO:0007218,NA,UP,0.00175988689118953,0.0019509664407077,2.125157364156871,GO,48,0.0019509664407077,2.125157364156871,FALSE,TRUE,TRUE
16,GO:0086002,NA,UP,0.00207487347414979,0.0019509664407077,2.2702091335566355,GO,19,0.00207487347414979,2.2702091335566355,FALSE,TRUE,TRUE
17,GO:0099170,NA,UP,0.00264356415847938,3.165021103734992e-4,2.419476127700322,GO,18,0.00264356415847938,2.419476127700322,FALSE,TRUE,TRUE
18,GO:0016082,NA,UP,0.00359706822518594,0.00731096784028375,2.169135553321862,GO,14,0.00731096784028375,2.169135553321862,FALSE,TRUE,TRUE
19,GO:1903861,NA,UP,0.01045788657607808,0.0090695048713761,2.180675180158598,GO,12,0.01045788657607808,2.180675180158598,FALSE,TRUE,TRUE
20,GO:0022038,NA,UP,0.01178359176808233,0.02703048849251761,2.0337409732676273,GO,13,0.02703048849251761,2.0337409732676273,FALSE,TRUE,TRUE
21,GO:0007416,NA,UP,0.01737682426383347,0.00681683503451281,2.0338427332057805,GO,37,0.01737682426383347,2.0338427332057805,FALSE,TRUE,TRUE
22,GO:0060291,NA,UP,0.02509555012215168,0.00231197721258813,2.110693134144751,GO,40,0.02509555012215168,2.110693134144751,FALSE,TRUE,TRUE
23,GO:0019228,NA,UP,0.02509555012215168,0.01971644623565429,2.008600680894481,GO,23,0.02509555012215168,2.008600680894481,FALSE,TRUE,TRUE
24,GO:0016079,NA,UP,0.02823102175370183,0.01618736715801807,2.109264086538784,GO,17,0.02823102175370183,2.109264086538784,FALSE,TRUE,TRUE
25,GO:0051966,NA,UP,0.03228856054951103,0.0261662993073138,1.960170280319154,GO,22,0.03228856054951103,1.960170280319154,FALSE,TRUE,TRUE
26,GO:2000300,NA,UP,0.03684951441502938,0.01491385220032539,2.032564578461375,GO,25,0.03684951441502938,2.032564578461375,FALSE,TRUE,TRUE
27,GO:0036092,NA,UP,0.03705988771114831,0.00313390053144747,2.1678409113440664,GO,21,0.03705988771114831,2.1678409113440664,FALSE,TRUE,TRUE
28,GO:0061003,NA,UP,0.03705988771114831,0.01802522088545375,2.0879758374064905,GO,13,0.03705988771114831,2.0879758374064905,FALSE,TRUE,TRUE
29,GO:0007026,NA,UP,0.03944032754649897,0.02745011645508003,1.9334171279136072,GO,20,0.03944032754649897,1.9334171279136072,FALSE,TRUE,TRUE
30,GO:0050808,NA,UP,0.04726702345883797,0.04966780644973519,1.7785484224361656,GO,38,0.04966780644973519,1.7785484224361656,FALSE,TRUE,TRUE
