cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES,in_consensus,solo_high_conf,keep_final
21,GO:0002376,NA,DOWN,0.00911996012482953,0.00915436457523768,-1.993373402905638,GO,20,0.00915436457523768,1.993373402905638,FALSE,TRUE,TRUE
22,GO:0045766,NA,DOWN,0.01045788657607808,3.1750159271412066e-4,-2.06660854656893,GO,94,0.01045788657607808,2.06660854656893,FALSE,TRUE,TRUE
23,GO:0034341,NA,DOWN,0.01226511611944585,0.00731096784028375,-2.014774570168943,GO,14,0.01226511611944585,2.014774570168943,FALSE,TRUE,TRUE
24,GO:0045087,NA,DOWN,0.02823102175370183,3.412687608622966e-7,-2.1038816542546703,GO,218,0.02823102175370183,2.1038816542546703,FALSE,TRUE,TRUE
25,GO:0001570,NA,DOWN,0.02850548703043163,0.0019509664407077,-2.058415826295988,GO,40,0.02850548703043163,2.058415826295988,FALSE,TRUE,TRUE
26,GO:0006955,NA,DOWN,0.03296685983527277,2.910355213076042e-4,-1.987716395870759,GO,140,0.03296685983527277,1.987716395870759,FALSE,TRUE,TRUE
27,GO:0034097,NA,DOWN,0.03549250483970976,0.00313390053144747,-2.03824334468723,GO,34,0.03549250483970976,2.03824334468723,FALSE,TRUE,TRUE
28,GO:0045669,NA,DOWN,0.03684951441502938,0.02516619263469836,-1.8716579446802617,GO,50,0.03684951441502938,1.8716579446802617,FALSE,TRUE,TRUE
29,GO:1900182,NA,DOWN,0.03810235345273468,0.02474784780485208,-1.8914205236144568,GO,31,0.03810235345273468,1.8914205236144568,FALSE,TRUE,TRUE
30,GO:0010718,NA,DOWN,0.03944032754649897,0.04044166299356291,-1.8360135853565944,GO,37,0.04044166299356291,1.8360135853565944,FALSE,TRUE,TRUE
31,GO:0042742,NA,DOWN,0.04046752504160132,0.01521174176531589,-1.82768956255474,GO,53,0.04046752504160132,1.82768956255474,FALSE,TRUE,TRUE
32,GO:1902895,NA,DOWN,0.04432086945894142,0.00321836256414131,-1.981384048679791,GO,40,0.04432086945894142,1.981384048679791,FALSE,TRUE,TRUE
33,GO:0071260,NA,DOWN,0.04896231074252587,0.02932929575891607,-1.7660824129189254,GO,59,0.04896231074252587,1.7660824129189254,FALSE,TRUE,TRUE
