ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,cluster
WP2446,Retinoblastoma gene in cancer,Up,4.5682273121421536e-10,1.7355747067067923e-17,2.9026307828312223,WP,87,1
WP466,DNA replication,Up,4.5682273121421536e-10,6.116321351373621e-11,2.6884110292457435,WP,41,1
WP179,Cell cycle,Up,4.441352522969889e-5,3.9966221353516536e-11,2.497787862672076,WP,117,1
GO:0006270,DNA replication initiation,Up,7.519233982907349e-5,9.60472520184871e-7,2.4437905459094136,GO,24,1
GO:0051301,cell division,Up,0.00186872419350325,3.334221358454461e-13,2.474186433805807,GO,202,1
WP45,G1 to S cell cycle control,Up,0.00837385791348614,5.8293253554091425e-5,2.2285557927098925,WP,62,1
WP411,mRNA processing,Up,1.407454523281245e-7,1.992281653847689e-12,2.5458077889541593,WP,125,2
GO:0000398,"mRNA splicing, via spliceosome",Up,7.519233982907349e-5,9.60472520184871e-7,2.3021664977638583,GO,94,2
WP4016,DNA IR damage and cellular response via ATR,Up,7.990983180907505e-6,2.2035117112968568e-11,2.616494773893685,WP,81,3
WP531,DNA mismatch repair,Up,4.441352522969889e-5,6.150204258800716e-5,2.310971033688486,WP,23,3
WP5465,Fanconi anemia,Up,8.574388153650349e-4,1.714541277007167e-5,2.310424911555921,WP,47,3
WP4752,Base excision repair,Up,0.00116097108692792,0.00217082193199356,2.106110428478167,WP,31,3
WP4946,DNA repair pathways full network,Up,0.00837385791348614,2.801415366451369e-5,2.088553289383261,WP,120,3
WP2516,ATM signaling,Up,0.01612652901840908,0.02430884871129255,1.8727560154037377,WP,36,3
GO:0036297,interstrand cross-link repair,Up,0.01885066239063509,0.00125878325890806,2.1520651477904504,GO,32,3
WP4240,Regulation of sister chromatid separation at the metaphase anaphase transition,Up,4.441352522969889e-5,3.5115661878851553e-4,2.165185943751565,WP,14,4
GO:0007094,mitotic spindle assembly checkpoint signaling,Up,4.454850392645474e-4,8.141763734414782e-8,2.512024163516203,GO,16,4
WP5117,Cohesin complex Cornelia de Lange syndrome,Up,0.01375757433074967,0.010709592300545,1.9842054056780003,WP,32,4
WP2361,Gastric cancer network 1,Up,0.00429460117837113,1.0019685012558096e-5,2.332403454884902,WP,27,5
WP4022,Pyrimidine metabolism,Up,0.00837385791348614,8.337183633759805e-5,2.1090192589557226,WP,82,6
WP1601,Fluoropyrimidine activity,Up,0.01131091271380426,0.00117242470934803,2.0868815433343406,WP,27,7
WP477,Cytoplasmic ribosomal proteins,Up,0.01338122003168429,0.00151280061882891,1.919705296053227,WP,87,8
GO:0002181,cytoplasmic translation,Up,0.01344088416251917,0.0011004302332177,2.012672365405637,GO,83,8
WP2363,Gastric cancer network 2,Up,0.01432358542494685,0.00882496146639223,1.971374336911521,WP,30,9
GO:0000278,mitotic cell cycle,Up,7.519233982907349e-5,1.9754320112991262e-10,2.605164014835102,GO,78,10
GO:0051321,meiotic cell cycle,Up,3.1108826359489e-4,3.0145125177026647e-4,2.1983710317123113,GO,33,11
GO:0090307,mitotic spindle assembly,Up,4.443415245474646e-4,3.2569374818616943e-4,2.2142121956942686,GO,25,12
GO:0007059,chromosome segregation,Up,4.454850392645474e-4,3.3921608429921404e-7,2.4847978000668074,GO,51,13
GO:0000070,mitotic sister chromatid segregation,Up,0.00235517370028439,7.94577731801175e-4,2.1201358961923433,GO,13,14
GO:0006913,nucleocytoplasmic transport,Up,0.00352763967176144,0.02657814962549842,1.9018576836827177,GO,36,15
GO:0043484,regulation of RNA splicing,Up,0.00454030121099256,1.153605290166192e-4,2.2954305010839837,GO,31,16
GO:0000076,DNA replication checkpoint signaling,Up,0.00685143024808874,5.159855331754656e-5,2.210661459544209,GO,10,17
GO:0000086,G2/M transition of mitotic cell cycle,Up,0.02905261105792873,2.319427947519772e-4,2.2108745143483945,GO,33,18
GO:0140588,chromatin looping,Up,0.03118328326484352,1.1503255800808937e-4,2.10260527222574,GO,91,19
GO:0007051,spindle organization,Up,0.03361051426884951,0.01608627466337337,1.9494500399775232,GO,11,20
GO:0071168,protein localization to chromatin,Up,0.03535930616665995,0.01348731155661093,1.9619202869926595,GO,11,21
GO:0007017,microtubule-based process,Up,0.04815910769379521,0.00921693031521496,2.002940933046784,GO,14,22
