bootstrap,WP2446,WP2806,WP3624,WP466,WP5390,WP1591,WP383,WP2361,WP2406,WP3617,WP1533,WP2848,WP2431,WP5117,WP4136,WP558,WP2064,WP4016,WP5095,WP5055
b73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b75,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
b76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
b78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b80,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
b81,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
b82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b83,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
b84,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
b85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
b87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b88,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
b89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
b90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b91,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
b92,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
b93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b94,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
b95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
b97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
b98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
b99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
b100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
b102,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
b103,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
b104,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
b105,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b106,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b109,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
b110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b113,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
b114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b116,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
b117,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
b121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
b122,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
b123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
b124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
b126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
b129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
b130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b131,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
b132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
b133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b138,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
b139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
b141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
b142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
b146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
b147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
b148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
b150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b151,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
b152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
b153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
b154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
b157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
b164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
b166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
b167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b169,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b170,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b174,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
b177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
b179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
b184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
