,GSM7887562,GSM7887563,GSM7887564,GSM7887565,GSM7887566,GSM7887567
653635,8.79874344968701,8.76397635537198,8.89893747982567,9.00897288896957,8.98564331390987,9.07155020841032
102466751,4.35673024657002,4.05265864391354,4.33744485862967,4.15463173566002,4.27503464105257,4.53655785766354
100996442,6.13306120782341,5.42327573707546,6.1035528762533,6.00642045626317,5.9107612747109,5.79469772446185
729737,9.8665315962169,9.83031128223999,10.0331214458554,10.4534553663981,10.4941446273925,10.6655240598202
102723897,8.99334977174608,8.96868988578607,9.02752461928219,9.12082210641892,9.17065518709427,9.17090710915076
112268260,4.87076287227705,4.87113200698727,4.77061484570843,5.11355040967433,4.93454464656331,4.65689913622496
100132287,9.05014268105178,8.90851227938721,9.09044016937119,9.31250232199816,9.43794754203533,9.50140505539372
113219467,10.8680169657137,10.6086742397568,11.3550589443498,10.7436996389493,10.9173265625229,11.0566047278683
100133331,8.61734022867373,8.44287767176667,8.70977656852503,8.92341445126536,8.89272362665292,8.94429348408897
107984841,7.39745737381476,7.1331777075316,7.20604217464428,7.25069437266524,7.33219976630497,7.49732409590992
107984847,7.99617778062646,8.14799656399459,7.98204816692811,7.96114662352797,8.00002898279748,8.12205932198879
107984849,5.98556065353583,6.63578521604763,6.40845294574537,5.9840565582251,6.02815573292158,6.50528671707122
100288069,6.47082103938878,6.00795439012564,6.35597836580392,6.25080013513234,6.3501723418141,6.65730483433804
105378580,4.71889994012727,4.91839744820202,4.82310375160941,4.84234464449613,5.02771308141819,4.76797052264096
400728,4.21252995490299,2.77569260548104,3.92213656871813,3.98481977839882,4.27503464105257,3.33415930269366
79854,4.60798074697133,5.45567829332712,5.40825961199391,5.47601709514448,5.45420432595021,5.40557933158779
643837,10.2935564984641,10.2133216023635,10.2618681624011,10.2576108185863,10.1331712829456,10.2885334119104
284600,7.0503515446905,7.25785190340521,7.29234847892095,7.45149963833867,7.45469836219339,7.74822999609122
100130417,6.42247220391548,6.50255424146708,6.55531304241765,6.34155270160879,6.55185238204809,6.56802886555395
107985728,6.26687035519216,5.84627067886746,6.52394503391927,6.37631339067677,6.17794648676947,6.74137675271141
148398,7.7701342245058,7.67741642079181,7.7236102729013,7.99509245226841,8.03411261206656,8.10629146780576
26155,10.342017015979,10.3861356202183,10.7141554134436,10.7935792652006,10.7607490271499,10.8629816248798
339451,7.15269418926985,7.22062523841965,7.57848534363345,6.93812973076187,7.13691749762044,7.18341496070878
84069,7.57751330074277,7.43893642079206,7.8927766830798,7.65630725058543,7.71496130975283,7.80142523308124
84808,6.11289073288983,5.66415283690135,6.03844682573204,5.44360384223931,5.5198219485157,5.79469772446185
57801,9.06071141454106,8.91435285077149,9.36945082923017,9.50542466349487,9.61914857090839,9.57007195149665
9636,7.88757858569402,7.95182467103445,8.30167900780311,8.3632293445413,8.55208325520032,8.32642429053296
375790,12.7021854244874,12.6479658256484,13.018790291058,13.1491819481662,13.1821471727326,13.2430021323916
100288175,4.77131730397912,4.28679360278036,4.71614392255159,4.3065443873822,4.02682737075642,4.33483578327688
112267874,4.21252995490299,4.35709379055445,4.60061464072215,4.3065443873822,3.48545332575075,3.81997272903739
105378948,5.28548495884548,5.42327573707546,5.47539138471867,4.84234464449613,5.07213403200702,4.71350347239826
