Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol
1026,8000,3.65,0.0708,0,0,CDKN1A
64782,1090,2.83,0.0896,1.02e-220,9.14999999999999e-217,AEN
8794,377,3.56,0.145,2.23e-133,1.34e-129,TNFRSF10C
9518,526,2.82,0.118,1.46e-127,6.6e-124,GDF15
7153,852,-2.43,0.103,1.07e-123,3.84e-120,TOP2A
10112,364,-3.44,0.146,4.37e-123,1.31e-119,KIF20A
51065,1830,1.83,0.0782,2.13e-122,5.49e-119,RPS27L
79933,2560,1.56,0.0687,5.34e-115,1.2e-111,SYNPO2L
1063,478,-2.72,0.122,1.34e-111,2.68e-108,CENPF
333,570,2.29,0.103,1.9e-110,3.43e-107,APLP1
105377329,419,3.08,0.143,3.04e-104,4.97e-101,NA
106614088,352,3.09,0.144,1.57e-103,2.36e-100,MIR34AHG
60401,353,2.91,0.137,1.74e-101,2.42e-98,EDA2R
891,580,-2.17,0.103,1.49e-100,1.91e-97,CCNB1
22974,558,-2.19,0.107,1.11e-94,1.33e-91,TPX2
23612,1630,1.59,0.0786,2.92e-92,3.29e-89,PHLDA3
4288,679,-1.88,0.0939,1.8e-90,1.91e-87,MKI67
7379,816,1.83,0.0938,6.6e-86,6.61e-83,UPK2
5420,2910,-1.22,0.0642,8.75e-82,8.29e-79,PODXL
8795,3060,1.18,0.0629,1.54e-79,1.39e-76,TNFRSF10B
643401,211,3.21,0.176,2.14e-75,1.83e-72,PURPL
9055,487,-1.92,0.106,4.34e-74,3.56e-71,PRC1
3488,5060,-1.14,0.0635,1.36e-73,1.07e-70,IGFBP5
132671,248,2.73,0.153,1.22e-72,9.17e-70,SPATA18
84171,601,1.67,0.0952,5.12e-70,3.69e-67,LOXL4
1643,703,1.61,0.0928,2.81e-68,1.94e-65,DDB2
11065,263,-2.52,0.146,9.42e-68,6.29e-65,UBE2C
2232,319,2.17,0.13,5.41e-64,3.48e-61,FDXR
991,225,-2.55,0.156,1.34e-61,8.31e-59,CDC20
54443,646,-1.6,0.0992,6.1e-60,3.66e-57,ANLN
5347,197,-2.83,0.175,7.3e-60,4.24e-57,PLK1
8048,3690,1.01,0.0638,8.33e-58,4.69e-55,CSRP3
55367,633,1.61,0.102,1.65e-57,8.99e-55,PIDD1
27113,385,1.9,0.121,6.55e-57,3.47e-54,BBC3
9232,402,-1.89,0.121,9.36e-56,4.82e-53,PTTG1
1308,3070,0.998,0.0653,9.53e-54,4.77e-51,COL17A1
581,967,1.52,0.1,2.85e-53,1.39e-50,BAX
1647,1430,1.2,0.0793,8.04e-53,3.81e-50,GADD45A
51203,248,-2.27,0.15,1.18e-52,5.47e-50,NUSAP1
6275,504,-1.58,0.106,3.66e-51,1.65e-48,S100A4
115908,2250,-1.08,0.074,4.03e-49,1.77e-46,CTHRC1
91807,5140,0.886,0.061,7.12e-49,3.06e-46,MYLK3
83643,823,-1.23,0.0855,7.26e-48,3.04e-45,CCDC3
9133,200,-2.28,0.16,2.19e-47,8.95e-45,CCNB2
3635,170,2.52,0.179,4.3e-46,1.72e-43,INPP5D
332,224,-2.01,0.144,1.22e-45,4.8e-43,BIRC5
4175,889,-1.16,0.083,1.83e-45,7.01e-43,MCM6
27244,570,1.39,0.1,5.19e-45,1.95e-42,SESN1
1462,7080,-0.922,0.0668,2.07e-44,7.62e-42,VCAN
6560,2050,1.08,0.0786,2.37e-44,8.52e-42,SLC12A4
2,3540,0.982,0.0713,2.76e-44,9.76e-42,A2M
9787,130,-2.93,0.214,1.04e-43,3.59e-41,DLGAP5
11004,241,-1.89,0.139,1.19e-43,4.05e-41,KIF2C
1381,668,-1.39,0.102,2e-43,6.68e-41,CRABP1
283131,7170,0.845,0.0621,3.16e-43,1.03e-40,NEAT1
1052,1740,1,0.0749,9.46e-42,3.04e-39,CEBPD
890,228,-1.9,0.145,1.54e-40,4.86e-38,CCNA2
3838,1870,-0.955,0.073,3.71e-40,1.15e-37,KPNA2
286,120,2.65,0.205,2.24e-39,6.83e-37,ANK1
10346,99.8,3.15,0.244,3.05e-39,9.15e-37,TRIM22
259266,134,-2.68,0.208,6.07e-39,1.79e-36,ASPM
84814,1390,1.08,0.0843,8.09e-39,2.35e-36,PLPP7
150696,365,1.45,0.114,1.62e-38,4.64e-36,PROM2
699,427,-1.55,0.123,1.4e-37,3.93e-35,BUB1
29127,447,-1.36,0.108,1.64e-37,4.55e-35,RACGAP1
5429,501,1.24,0.0991,2.59e-37,7.07e-35,POLH
4193,1470,1.29,0.103,3.44e-37,9.25e-35,MDM2
3006,641,1.16,0.0931,4.94e-37,1.31e-34,H1-2
10615,300,-1.52,0.122,1.54e-36,4.01e-34,SPAG5
440,1430,-1.01,0.0817,3.25e-36,8.37e-34,ASNS
6223,15900,0.851,0.069,5.32e-36,1.35e-33,RPS19
3949,2030,-0.894,0.0727,8.16e-36,2.04e-33,LDLR
8793,460,1.28,0.105,1.73e-35,4.27e-33,TNFRSF10D
2876,2890,0.962,0.0787,1.92e-35,4.67e-33,GPX1
3925,3610,-0.897,0.0737,3.62e-35,8.69e-33,STMN1
7137,1490,-1.01,0.0832,4.01e-35,9.5e-33,TNNI3
4878,811,1.12,0.0924,6.07e-35,1.42e-32,NPPA
11174,755,-1.2,0.0991,9.18e-35,2.12e-32,ADAMTS6
107986827,1450,-0.985,0.0817,1.32e-34,3.01e-32,NA
7857,336,-1.54,0.129,2.24e-34,5.04e-32,SCG2
9493,382,-1.37,0.115,2.7e-34,6.01e-32,KIF23
701,247,-1.73,0.144,2.84e-34,6.23e-32,BUB1B
10973,1380,1.02,0.0854,6.12e-34,1.33e-31,ASCC3
9966,734,1.07,0.0904,1.34e-33,2.88e-31,TNFSF15
57103,495,1.42,0.12,1.49e-33,3.15e-31,TIGAR
24137,155,-2.02,0.171,2.27e-33,4.76e-31,KIF4A
983,235,-1.83,0.157,8.26e-33,1.71e-30,CDK1
6790,476,-1.23,0.107,3.32e-32,6.79e-30,AURKA
256435,342,-1.53,0.132,3.46e-32,6.99e-30,ST6GALNAC3
7138,194,-1.78,0.154,4.87e-32,9.75e-30,TNNT1
10403,103,-2.71,0.235,7.42e-32,1.47e-29,NDC80
83667,1030,0.936,0.0816,1.51e-31,2.96e-29,SESN2
55715,3100,-0.821,0.0715,1.62e-31,3.14e-29,DOK4
26227,2400,-0.92,0.0804,2.1e-31,4.02e-29,PHGDH
100303728,1430,0.866,0.0758,2.69e-31,5.09e-29,SLC25A5-AS1
2065,1210,-0.915,0.0802,3.12e-31,5.85e-29,ERBB3
105377700,407,1.23,0.108,4.94e-31,9.18e-29,NA
254896,69.3,3.55,0.314,1.7e-30,3.12e-28,NA
11173,641,1.23,0.11,2.04e-30,3.71e-28,ADAMTS7
55771,191,-1.77,0.158,2.19e-30,3.95e-28,PRR11
26112,1940,-0.777,0.0691,2.4e-30,4.28e-28,CCDC69
3833,283,-1.45,0.13,3.92e-30,6.92e-28,KIFC1
55872,107,-2.35,0.212,1.21e-29,2.11e-27,PBK
