ID,Description,direction,cam_FDR,fg_FDR,fgsea_NES,agreement_source,agreement_mode_used,agreement_relaxed_fdr_used,agreement_topn_used
GO:0008104,protein localization,Up,0.822567512987516,0.9824729891956784,0.6383072359188775,topn,relax_fdr_then_topn,0.2,50
GO:0002250,adaptive immune response,Up,0.822567512987516,0.9824729891956784,0.9086632893132828,topn,relax_fdr_then_topn,0.2,50
GO:0010467,gene expression,Down,0.8233849110717631,0.8641592920353982,-1.2402625970460883,topn,relax_fdr_then_topn,0.2,50
GO:0050821,protein stabilization,Down,0.8233849110717631,0.8845465674733968,-1.0912928588066184,topn,relax_fdr_then_topn,0.2,50
GO:0007165,signal transduction,Up,0.8233849110717631,0.8845465674733968,1.0561659770404526,topn,relax_fdr_then_topn,0.2,50
GO:0051607,defense response to virus,Down,0.8233849110717631,0.9093155689266144,-1.0608067049002263,topn,relax_fdr_then_topn,0.2,50
GO:0071222,cellular response to lipopolysaccharide,Down,0.8233849110717631,0.9824729891956784,-0.7967316102898607,topn,relax_fdr_then_topn,0.2,50
GO:0006412,translation,Down,0.8233849110717631,0.9824729891956784,-0.7837778793509206,topn,relax_fdr_then_topn,0.2,50
GO:0002181,cytoplasmic translation,Down,0.8233849110717631,0.9824729891956784,-0.805497148946551,topn,relax_fdr_then_topn,0.2,50
GO:0009615,response to virus,Up,0.8233849110717631,0.9824729891956784,0.9437900028530396,topn,relax_fdr_then_topn,0.2,50
GO:0006355,regulation of DNA-templated transcription,Up,0.8233849110717631,0.9824729891956784,0.9114626672752584,topn,relax_fdr_then_topn,0.2,50
GO:0042981,regulation of apoptotic process,Up,0.8233849110717631,0.9824729891956784,0.690669232573913,topn,relax_fdr_then_topn,0.2,50
GO:0015031,protein transport,Up,0.8233849110717631,0.9966329966329966,0.6070571896951078,topn,relax_fdr_then_topn,0.2,50
GO:0045944,positive regulation of transcription by RNA polymerase II,Down,0.840622438102352,0.9824729891956784,-0.7649874241896274,topn,relax_fdr_then_topn,0.2,50
GO:0043410,positive regulation of MAPK cascade,Up,0.8486239644218265,0.9093155689266144,1.068460407477874,topn,relax_fdr_then_topn,0.2,50
GO:0030336,negative regulation of cell migration,Down,0.9034191418173588,0.9824729891956784,-0.9284458315783944,topn,relax_fdr_then_topn,0.2,50
GO:0120162,positive regulation of cold-induced thermogenesis,Down,0.9034191418173588,0.9824729891956784,-0.6457455946519474,topn,relax_fdr_then_topn,0.2,50
GO:0010976,positive regulation of neuron projection development,Up,0.9034191418173588,0.9824729891956784,0.8001126595426689,topn,relax_fdr_then_topn,0.2,50
GO:0045892,negative regulation of DNA-templated transcription,Up,0.9034191418173588,0.9824729891956784,0.8871500470538624,topn,relax_fdr_then_topn,0.2,50
GO:0006979,response to oxidative stress,Up,0.9034191418173588,0.9966329966329966,0.507048564736952,topn,relax_fdr_then_topn,0.2,50
GO:0030154,cell differentiation,Down,0.9322827603077068,0.9824729891956784,-0.7442273491450404,topn,relax_fdr_then_topn,0.2,50
GO:0030036,actin cytoskeleton organization,Down,0.9322827603077068,0.9824729891956784,-0.7907728617003621,topn,relax_fdr_then_topn,0.2,50
GO:0043433,negative regulation of DNA-binding transcription factor activity,Up,0.9322827603077068,0.9824729891956784,0.8138630619234388,topn,relax_fdr_then_topn,0.2,50
GO:0071456,cellular response to hypoxia,Up,0.963122892342642,0.8641592920353982,1.2910533407007805,topn,relax_fdr_then_topn,0.2,50
GO:0034976,response to endoplasmic reticulum stress,Down,0.963122892342642,0.8845465674733968,-1.0888304668797275,topn,relax_fdr_then_topn,0.2,50
GO:0042274,ribosomal small subunit biogenesis,Down,0.963122892342642,0.9446554015568636,-1.001311837957629,topn,relax_fdr_then_topn,0.2,50
GO:0016485,protein processing,Down,0.963122892342642,0.9824729891956784,-0.7161463533491825,topn,relax_fdr_then_topn,0.2,50
GO:0051301,cell division,Up,0.963122892342642,0.9824729891956784,0.7148803324947952,topn,relax_fdr_then_topn,0.2,50
GO:0001822,kidney development,Up,0.963122892342642,0.9824729891956784,0.7221301344901156,topn,relax_fdr_then_topn,0.2,50
GO:0007155,cell adhesion,Up,0.963122892342642,0.9824729891956784,0.7510266560760326,topn,relax_fdr_then_topn,0.2,50
GO:0006914,autophagy,Down,0.9699175461653522,0.9966329966329966,-0.4085498567780266,topn,relax_fdr_then_topn,0.2,50
GO:0006397,mRNA processing,Down,0.9859593753053244,0.9966329966329966,-0.6237226173867981,topn,relax_fdr_then_topn,0.2,50
GO:0016567,protein ubiquitination,Down,0.99056654168149,0.9824729891956784,-0.6505991366063756,topn,relax_fdr_then_topn,0.2,50
GO:0045893,positive regulation of DNA-templated transcription,Up,0.99056654168149,0.9824729891956784,0.9471670333978256,topn,relax_fdr_then_topn,0.2,50
