original_term_id,kept_term_id,pair_similarity
GO:0034614,GO:0000302,0.61
GO:0043032,GO:0043030,0.778
GO:0002695,GO:0043030,0.624
GO:0007411,GO:0097485,0.864
GO:0051966,GO:0035249,0.646
GO:0051965,GO:0051962,0.607
GO:0036006,GO:0036005,0.63
GO:0050806,GO:0060291,0.888
GO:0006801,GO:0042554,0.841
GO:0072593,GO:0042554,0.726
GO:0032928,GO:0042554,0.621
GO:2001237,GO:1902042,0.898
GO:1902041,GO:1902042,0.774
GO:0097061,GO:0106027,0.697
GO:0032930,GO:2000379,0.789
GO:0090322,GO:2000379,0.634
GO:0051250,GO:0050866,0.618
GO:0031113,GO:0031110,0.667
GO:0031112,GO:0031110,0.817
GO:0050770,GO:0061001,0.708
GO:0043062,GO:0030198,0.735
GO:0045229,GO:0030198,0.735
GO:0007586,GO:0022600,0.687
GO:0001885,GO:0002066,0.67
GO:0002064,GO:0002066,0.849
