original_term_id,kept_term_id,pair_similarity
GO:0002237,GO:0032496,0.814
GO:0071222,GO:0032496,0.697
GO:0071219,GO:0032496,0.647
GO:0042116,GO:0002274,0.851
GO:0036230,GO:0002274,0.851
GO:0002275,GO:0002274,0.647
GO:0042119,GO:0002274,0.747
GO:0061041,GO:0042060,0.616
GO:0002250,GO:0002460,0.837
GO:0016064,GO:0002460,0.626
GO:0019724,GO:0002460,0.677
GO:0002449,GO:0002443,0.812
GO:0002703,GO:0002443,0.608
GO:0001909,GO:0002443,0.668
GO:0002444,GO:0002443,0.812
GO:0002429,GO:0002768,0.798
GO:0002752,GO:0002768,0.627
GO:0071526,GO:0002768,0.63
GO:0038094,GO:0002768,0.864
GO:0050854,GO:0002768,0.739
GO:0050829,GO:0042742,0.901
GO:0050830,GO:0042742,0.901
GO:0006935,GO:0042330,0.776
GO:0051924,GO:0006816,0.651
GO:0070588,GO:0006816,0.611
GO:0070509,GO:0006816,0.842
GO:0002220,GO:0045088,0.656
GO:0002758,GO:0045088,0.687
GO:0045089,GO:0045088,0.8
GO:0002218,GO:0045088,0.774
GO:0045824,GO:0045088,0.8
GO:0043266,GO:0010959,0.697
GO:0043270,GO:0010959,0.636
GO:0043271,GO:0010959,0.636
GO:0032943,GO:0070661,0.812
GO:0070663,GO:0070661,0.608
GO:0019730,GO:0006959,0.609
GO:0050803,GO:0050878,0.605
GO:0007599,GO:0050878,0.812
GO:0071346,GO:0034341,0.799
GO:0050729,GO:0050727,0.787
GO:0031348,GO:0050727,0.611
GO:0032735,GO:0032757,0.733
GO:0032677,GO:0032757,0.768
GO:0032729,GO:0032757,0.733
GO:0032755,GO:0032757,0.733
GO:0032722,GO:0032757,0.733
GO:0006958,GO:0006956,0.787
GO:0070372,GO:0070371,0.699
GO:0002221,GO:0070371,0.674
GO:0038066,GO:0070371,0.607
GO:0050764,GO:0006909,0.632
GO:0002832,GO:0002833,0.602
GO:0034765,GO:1904062,0.852
GO:0060306,GO:1904062,0.676
GO:1901381,GO:1904062,0.612
GO:1901379,GO:1904062,0.779
GO:1903169,GO:1904062,0.733
GO:0034767,GO:1904062,0.655
GO:1904064,GO:1904062,0.789
GO:0002699,GO:0002697,0.771
GO:0032675,GO:0032635,0.627
GO:0032637,GO:0032635,0.735
GO:0032615,GO:0032635,0.735
GO:0032609,GO:0032635,0.735
GO:0032640,GO:0032635,0.636
GO:0032613,GO:0032635,0.735
GO:0071706,GO:0032635,0.735
GO:0032607,GO:0032635,0.636
GO:1903532,GO:0051047,0.713
GO:0051048,GO:0051047,0.659
GO:0009612,GO:0071260,0.613
GO:0030595,GO:0060326,0.857
GO:0030593,GO:0060326,0.705
GO:0071805,GO:0006813,0.604
GO:0051963,GO:0050807,0.665
GO:0099175,GO:0050807,0.872
GO:0006887,GO:0045055,0.9
GO:1903305,GO:0045055,0.649
GO:0017156,GO:0045055,0.889
GO:0050670,GO:0032944,0.634
GO:0070665,GO:0032944,0.62
GO:0098703,GO:0097553,0.816
GO:1902656,GO:0097553,0.732
GO:0042100,GO:0046651,0.83
GO:0002573,GO:0002761,0.664
GO:0002763,GO:0002761,0.79
GO:0045639,GO:0002761,0.727
GO:0045637,GO:0002761,0.859
GO:0045672,GO:0002761,0.733
GO:0045670,GO:0002761,0.91
GO:0090303,GO:1903034,0.657
GO:1903036,GO:1903034,0.801
GO:0050433,GO:0050432,0.676
GO:0015844,GO:0050432,0.626
GO:0051937,GO:0050432,0.74
GO:0014046,GO:0050432,0.744
GO:1902893,GO:1902895,0.825
GO:0150076,GO:0090594,0.609
GO:0002526,GO:0090594,0.609
GO:0048639,GO:0048638,0.768
GO:0071322,GO:0009743,0.63
GO:0050900,GO:1990266,0.75
GO:0097530,GO:1990266,0.874
GO:0097529,GO:1990266,0.795
GO:0002224,GO:0034142,0.891
GO:0051606,GO:0009593,0.687
GO:1903531,GO:0017157,0.653
GO:0009306,GO:0050708,0.701
GO:0050796,GO:0050708,0.798
GO:0002791,GO:0050708,0.665
GO:0050714,GO:0050708,0.814
GO:0007193,GO:0007188,0.891
GO:0007187,GO:0007188,0.791
GO:0032649,GO:0032655,0.74
GO:0032680,GO:0032655,0.642
GO:0032653,GO:0032655,0.74
GO:1903555,GO:0032655,0.74
GO:0032647,GO:0032655,0.642
GO:0071692,GO:0035592,0.691
GO:0009595,GO:0098581,0.715
GO:0021545,GO:0021675,0.88
GO:0007422,GO:0021675,0.768
GO:0002263,GO:0002366,0.835
GO:0002286,GO:0002366,0.735
GO:0015837,GO:0051953,0.613
GO:0051952,GO:0051953,0.814
GO:0051336,GO:0043087,0.825
GO:0043547,GO:0043087,0.664
GO:0062207,GO:0051056,0.672
GO:0043523,GO:0051402,0.62
GO:0019882,GO:0048002,0.788
GO:0002478,GO:0048002,0.717
GO:0002495,GO:0048002,0.717
GO:0019884,GO:0048002,0.605
