"n_universe","de_fraction","n_de","n_pathway","n_signal","replicate","stability"
7000,0.1,700,50,10,8,0.695
7000,0.1,700,50,10,9,0.645
7000,0.1,700,50,10,10,0.605
7000,0.1,700,50,10,11,0.65
7000,0.1,700,50,10,12,0.665
7000,0.1,700,50,10,13,0.66
7000,0.1,700,50,10,14,0.69
7000,0.1,700,50,10,15,0.64
7000,0.1,700,50,10,16,0.65
7000,0.1,700,50,10,17,0.65
7000,0.1,700,50,10,18,0.625
7000,0.1,700,50,10,19,0.665
7000,0.1,700,50,10,20,0.68
