ID,direction,Description,cam_FDR,fg_FDR,cam_stat,fg_NES
GO:0030308,Down,negative regulation of cell growth,0.04304963762839901,0.4103922190050324,NA,-1.69573760060984
GO:0007005,Down,mitochondrion organization,0.6457629909718976,0.4914772596677201,NA,-1.54314485155422
GO:0032869,Down,cellular response to insulin stimulus,0.6457629909718976,0.4914772596677201,NA,-1.5675320120331648
GO:0035556,Down,intracellular signal transduction,0.6457629909718976,0.5158903597193059,NA,-1.5401045161514018
GO:0006468,Down,protein phosphorylation,0.6457629909718976,0.8047197640117995,NA,-1.4304669825639
GO:0042127,Down,regulation of cell population proliferation,0.6932218599711389,0.4914772596677201,NA,-1.5547722880000736
GO:0001501,Down,skeletal system development,0.6932218599711389,0.8093767546322291,NA,-1.424100459406645
GO:0008283,Down,cell population proliferation,0.6932218599711389,0.8093767546322291,NA,-1.3855014283003069
GO:0001525,Down,angiogenesis,0.6932218599711389,0.8641592920353982,NA,-1.2771288625162434
GO:0007411,Down,axon guidance,0.6932218599711389,0.8641592920353982,NA,-1.3458894060026785
GO:0016477,Down,cell migration,0.6932218599711389,0.8641592920353982,NA,-1.3007717837532398
GO:0006364,Down,rRNA processing,0.6932218599711389,0.8641592920353982,NA,-1.3213808637579854
GO:0006629,Down,lipid metabolic process,0.6932218599711389,0.8641592920353982,NA,-1.168151172582418
GO:0030335,Down,positive regulation of cell migration,0.6932218599711389,0.8641592920353982,NA,-1.2073926414112237
GO:0034599,Down,cellular response to oxidative stress,0.6932218599711389,0.8641592920353982,NA,-1.166050687811349
GO:0010628,Down,positive regulation of gene expression,0.6932218599711389,0.8641592920353982,NA,-1.2071794052145226
GO:0070374,Down,positive regulation of ERK1 and ERK2 cascade,0.6932218599711389,0.8641592920353982,NA,-1.146246658547462
GO:0043161,Down,proteasome-mediated ubiquitin-dependent protein catabolic process,0.6932218599711389,0.8641592920353982,NA,-1.2068424722171769
GO:0042593,Down,glucose homeostasis,0.6932218599711389,0.9093155689266144,NA,-1.0644698515536086
GO:0006954,Down,inflammatory response,0.6932218599711389,0.9824729891956784,NA,-0.9547600771444444
GO:0001666,Down,response to hypoxia,0.7445367165691125,0.8641592920353982,NA,-1.1388367530765309
GO:0010467,Down,gene expression,0.8233849110717631,0.8641592920353982,NA,-1.2402625970460883
GO:0050821,Down,protein stabilization,0.8233849110717631,0.8845465674733968,NA,-1.0912928588066184
GO:0051607,Down,defense response to virus,0.8233849110717631,0.9093155689266144,NA,-1.0608067049002263
GO:0006412,Down,translation,0.8233849110717631,0.9824729891956784,NA,-0.7837778793509206
GO:0071222,Down,cellular response to lipopolysaccharide,0.8233849110717631,0.9824729891956784,NA,-0.7967316102898607
GO:0045944,Down,positive regulation of transcription by RNA polymerase II,0.840622438102352,0.9824729891956784,NA,-0.7649874241896274
GO:0120162,Down,positive regulation of cold-induced thermogenesis,0.9034191418173588,0.9824729891956784,NA,-0.6457455946519474
GO:0030154,Down,cell differentiation,0.9322827603077068,0.9824729891956784,NA,-0.7442273491450404
GO:0030036,Down,actin cytoskeleton organization,0.9322827603077068,0.9824729891956784,NA,-0.7907728617003621
GO:0034976,Down,response to endoplasmic reticulum stress,0.963122892342642,0.8845465674733968,NA,-1.0888304668797275
GO:0042274,Down,ribosomal small subunit biogenesis,0.963122892342642,0.9446554015568636,NA,-1.001311837957629
GO:0016485,Down,protein processing,0.963122892342642,0.9824729891956784,NA,-0.7161463533491825
GO:0006914,Down,autophagy,0.9699175461653522,0.9966329966329966,NA,-0.4085498567780266
GO:0006397,Down,mRNA processing,0.9859593753053244,0.9966329966329966,NA,-0.6237226173867981
GO:0016567,Down,protein ubiquitination,0.99056654168149,0.9824729891956784,NA,-0.6505991366063756
GO:0000398,Up,"mRNA splicing, via spliceosome",0.2835685208374495,0.3805986972076217,NA,1.806856636985967
GO:0006281,Up,DNA repair,0.6932218599711389,0.4914772596677201,NA,1.6440528767275535
GO:0006974,Up,DNA damage response,0.6932218599711389,0.4914772596677201,NA,1.5623733586666235
GO:0043065,Up,positive regulation of apoptotic process,0.6932218599711389,0.8093767546322291,NA,1.3833152375770326
