ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0000280,nuclear division,1.7776794532391122e-8,57,233,2.650026700421273,ANLN/AURKA/AURKB/BIRC5/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC25B/CDC25C/CDCA5/CDK1/CDT1/CENPE/CENPF/CHEK1/CHEK2/CKS2/DLGAP5/DMC1/ESPL1/FANCD2/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KNSTRN/LIF/MAD2L1/MKI67/MND1/MRE11/MYBL1/NCAPG2/NCAPH/NDE1/NEK2/PLK1/PSRC1/PTTG1/RACGAP1/RAD51/RAD54B/SGO1/SLX4/SMC4/TGFA/TOP2A/TPX2/TRIP13/TTK/UBE2C
GO:0098813,nuclear chromosome segregation,1.926299545031919e-8,47,174,2.9260377491745677,AURKA/AURKB/BIRC5/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC6/CDCA5/CDK1/CDT1/CENPE/CENPF/CHEK2/DLGAP5/DMC1/ECT2/ESPL1/FANCD2/KIF15/KIF22/KIF23/KIF2C/KIF4A/KNSTRN/MAD2L1/MND1/MRE11/NCAPG2/NCAPH/NEK2/PLK1/PSRC1/PTTG1/RACGAP1/RMI2/SGO1/SMC4/TACC3/TOP2A/TPX2/TRIP13/TTK/UBE2C
GO:0000070,mitotic sister chromatid segregation,1.2668073930807103e-6,32,107,3.2396456924645047,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDCA5/CDK1/CDT1/CENPE/CENPF/CHEK2/DLGAP5/ESPL1/KIF15/KIF22/KIF23/KIF2C/KIF4A/KNSTRN/MAD2L1/NCAPG2/NCAPH/NEK2/PLK1/PSRC1/RACGAP1/SMC4/TPX2/TRIP13/TTK/UBE2C
GO:0000086,G2/M transition of mitotic cell cycle,1.0430744174309969e-5,27,90,3.249769585253456,AURKA/AURKB/BIRC5/BLM/CCNA2/CCNB1/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDKN1A/CENPF/CHEK1/CHEK2/CLSPN/FOXM1/IER3/MIIP/MRE11/NBN/NES/PLK1/PLK3/PPM1D/RRM2B/WNT10B
GO:0051276,chromosome organization,1.158793968824573e-5,64,343,2.021236671100303,AURKB/BIRC5/BLM/BRIP1/BUB1/BUB1B/CCNB1/CCNE2/CDC20/CDC6/CDCA5/CDK1/CDT1/CENPA/CENPE/CENPF/CHEK2/CIP2A/DLGAP5/DMC1/DSCC1/ESPL1/FANCD2/FEN1/H3C4/H4C14/H4C15/H4C8/HJURP/HMGB1/HMGB2/KIF15/KIF22/KIF23/KIF2C/KIF4A/KNSTRN/MAD2L1/MND1/MRE11/MSH2/NBN/NCAPG2/NCAPH/NEK2/NUP107/PDS5A/PKIB/PLK1/PSRC1/PTTG1/RACGAP1/RAD51/RMI2/SGO1/SGO2/SLX4/SMC4/TACC3/TOP2A/TPX2/TRIP13/TTK/UBE2C
GO:0007093,mitotic cell cycle checkpoint signaling,3.1186837116228776e-5,25,84,3.22397776314827,AURKB/BIRC5/BLM/BUB1/BUB1B/CCNB1/CDC20/CDC6/CDK1/CDKN1A/CENPF/CHEK1/CHEK2/CLSPN/FANCD2/IER3/MAD2L1/MRE11/MSH2/NBN/PLK1/PLK3/TRIP13/TTK/XPC
GO:0061982,meiosis I cell cycle process,3.787218033237768e-5,21,63,3.6108550947260625,AURKA/BRIP1/CCNB2/CCNE2/CDC20/CDC25B/CDC25C/CKS2/DMC1/ESPL1/FANCD2/MND1/MRE11/MYBL1/PLK1/PTTG1/RAD51/RAD54B/SLX4/TOP2A/TRIP13
GO:0006270,DNA replication initiation,3.797260472857706e-5,14,30,5.055197132616487,CCNE2/CDC45/CDC6/CDT1/GMNN/MCM10/MCM2/MCM3/MCM5/MCM6/MCM7/NBN/POLA1/PRIM1
GO:0090068,positive regulation of cell cycle process,5.0675751342810835e-5,38,169,2.435724738454267,AURKA/AURKB/BIRC5/BUB1/CCNB1/CCNE2/CDC20/CDC25B/CDC25C/CDC6/CDC7/CDCA5/CDK1/CEP295/CHEK2/CIT/CYP1A1/DBF4/DLGAP5/ECT2/ESPL1/EZH2/FEN1/KIF20B/KIF23/MAD2L1/MDM2/NCAPG2/NCAPH/PLK4/RACGAP1/RRM2/RRM2B/SMC4/SSTR5/TGFA/UBE2C/WNT10B
GO:0045132,meiotic chromosome segregation,7.818147317224123e-5,16,41,4.227342549923195,AURKA/BRIP1/CCNB2/CCNE2/DMC1/ESPL1/FANCD2/MND1/MRE11/NCAPH/PLK1/PTTG1/SGO1/SMC4/TRIP13/TTK
GO:1905818,regulation of chromosome separation,8.035509976916976e-5,17,46,4.003339344152808,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CENPF/DLGAP5/ESPL1/MAD2L1/NCAPG2/NCAPH/PLK1/SMC4/TRIP13/TTK/UBE2C
GO:0007088,regulation of mitotic nuclear division,1.604086611797919e-4,21,70,3.249769585253456,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDC25C/CENPF/CHEK1/DLGAP5/ESPL1/KIF20B/MAD2L1/MKI67/NEK2/PLK1/TGFA/TRIP13/TTK/UBE2C
GO:0051303,establishment of chromosome localization,2.027864720569171e-4,18,55,3.5452031839128613,AURKB/BIRC5/CCNB1/CDCA5/CDK1/CDT1/CENPE/CENPF/ECT2/KIF22/KIF2C/KNSTRN/NDE1/NEK2/PSRC1/RACGAP1/SGO1/TTK
GO:1901988,negative regulation of cell cycle phase transition,2.7409781194738547e-4,34,157,2.345905857720117,AURKB/BIRC5/BLM/BRIP1/BUB1/BUB1B/CCNB1/CDC20/CDC45/CDC6/CDK1/CDKN1A/CDT1/CENPF/CHEK1/CHEK2/CLSPN/DTX3L/EZH2/FANCD2/GJC2/IER3/MAD2L1/MIIP/MRE11/MSH2/NBN/PLK1/PLK3/RAD51/SUSD2/TRIP13/TTK/XPC
GO:1902850,microtubule cytoskeleton organization involved in mitosis,2.8589166854398897e-4,25,98,2.763409511269946,AURKA/AURKB/BIRC5/CCNB1/CDC20/CDK1/CENPA/CENPE/CHEK2/DLGAP5/ESPL1/KIF15/KIF23/KIF4A/MAD2L1/NDE1/NEK2/PLK1/PLK3/PSRC1/RACGAP1/STMN1/TACC3/TPX2/TTK
GO:0090329,regulation of DNA-templated DNA replication,4.741176109111913e-4,11,24,4.964925755248336,BLM/CDC7/CDT1/DBF4/GMNN/MCM2/MCM3/MCM5/MCM6/MCM7/NBN
GO:0033260,nuclear DNA replication,6.030578857581545e-4,12,29,4.482440807246146,BLM/CDC45/CDC7/CDT1/DBF4/FEN1/GMNN/MCM2/MCM3/MCM6/POLA1/RAD51
GO:0007094,mitotic spindle assembly checkpoint signaling,6.738928080957898e-4,11,25,4.766328725038402,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CENPF/MAD2L1/PLK1/TRIP13/TTK
GO:0071173,spindle assembly checkpoint signaling,6.738928080957898e-4,11,25,4.766328725038402,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CENPF/MAD2L1/PLK1/TRIP13/TTK
