from,to,jaccard,k
WP477,GO:0002181,0.8777777777777778,79
WP477,GO:0006412,0.7079646017699115,80
WP477,GO:0042274,0.23157894736842105,22
WP477,GO:0006364,0.1504424778761062,17
WP2328,WP545,0.16393442622950818,10
WP2328,GO:0050778,0.1896551724137931,11
WP2328,GO:0002503,0.18181818181818182,10
WP2328,GO:0006958,0.15873015873015872,10
WP2328,GO:0019886,0.15625,10
WP2806,WP3896,0.22784810126582278,18
WP2806,WP558,0.22784810126582278,18
WP2806,WP545,0.18461538461538463,12
WP2806,WP5090,0.16260162601626016,20
WP2806,GO:0006958,0.1791044776119403,12
WP3896,WP558,1,37
WP3896,WP545,0.35,14
WP3896,WP5090,0.21212121212121213,21
WP3896,GO:0006958,0.36585365853658536,15
WP3896,GO:0006956,0.2564102564102564,10
WP558,WP545,0.35,14
WP558,WP5090,0.21212121212121213,21
WP558,GO:0006958,0.36585365853658536,15
WP558,GO:0006956,0.2564102564102564,10
WP4462,WP4559,0.2608695652173913,6
WP4559,WP5198,0.18181818181818182,6
WP2865,WP3877,0.16666666666666666,5
WP545,WP5090,0.20481927710843373,17
WP545,GO:0006958,0.5652173913043478,13
WP545,GO:0006956,0.5263157894736842,10
WP5491,WP3877,0.225,9
WP5491,GO:0002224,0.2,9
WP5090,GO:0006958,0.21428571428571427,18
WP3877,WP5198,0.15151515151515152,5
WP3877,GO:0002224,0.32142857142857145,9
WP176,WP2525,0.17045454545454544,15
WP4542,WP4537,0.3076923076923077,12
WP4542,GO:0035329,0.3055555555555556,11
WP560,WP4816,0.9215686274509803,47
WP4537,GO:0035329,0.38461538461538464,10
GO:0002181,GO:0006412,0.7272727272727273,80
GO:0002181,GO:0042274,0.2391304347826087,22
GO:0002181,GO:0006364,0.15454545454545454,17
GO:0006412,GO:0042274,0.1896551724137931,22
GO:0032757,GO:0032722,0.16666666666666666,10
GO:0032757,GO:0002224,0.1509433962264151,8
GO:0032757,GO:0032729,0.16216216216216217,12
GO:0032757,GO:0032755,0.32098765432098764,26
GO:0032757,GO:0032760,0.20652173913043478,19
GO:0032757,GO:1901224,0.15942028985507245,11
GO:0042274,GO:0006364,0.20967741935483872,13
GO:0032722,GO:0032729,0.1875,12
GO:0032722,GO:0032755,0.2597402597402597,20
GO:0032722,GO:0032760,0.1744186046511628,15
GO:0032722,GO:1901224,0.16666666666666666,10
GO:0050778,GO:0002503,0.7333333333333333,11
GO:0050778,GO:0019886,0.4583333333333333,11
GO:0002503,GO:0019886,0.55,11
GO:0006958,GO:0006956,0.34782608695652173,8
GO:0032755,GO:0032760,0.38,38
GO:0045766,GO:0043536,0.19444444444444445,21
