ID,Description,GeneRatio,BgRatio,p-value,adj. p-value
WP5265,Neurogenesis regulation in the olfactory epithe...,19/1363,52/6992,0.003,0.0456
WP5272,LDL influence on CD14 and TLR4,10/1363,21/6992,0.0033,0.049
WP2324,AGE RAGE pathway,21/1363,60/6992,0.00339,0.0493
WP3947,Serotonin and anxiety,9/1363,18/6992,0.0035,0.0495
WP5560,Lupus therapies,8/1363,15/6992,0.00355,0.0495
WP2882,Nuclear receptors meta pathway,62/1363,233/6992,0.00441,0.0597
WP5495,Targeting YAP in pancreatic ductal adenocarcino...,11/1363,25/6992,0.00445,0.0597
WP5353,Macrophage stimulating protein MSP signaling,28/1363,89/6992,0.00466,0.0613
WP5222,2q13 copy number variation syndrome,16/1363,43/6992,0.00509,0.0656
WP4877,Host pathogen interaction of human coronaviruse...,14/1363,36/6992,0.00545,0.0672
WP58,Monoamine GPCRs,12/1363,29/6992,0.00551,0.0672
WP619,Type II interferon signaling,12/1363,29/6992,0.00551,0.0672
WP4494,Selective expression of chemokine receptors dur...,7/1363,13/6992,0.00599,0.0718
WP3303,RAC1 PAK1 p38 MMP2 pathway,21/1363,63/6992,0.00648,0.0742
WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,21/1363,63/6992,0.00648,0.0742
WP536,Calcium regulation in cardiac cells,40/1363,141/6992,0.00651,0.0742
WP5333,Enterocyte cholesterol metabolism,12/1363,30/6992,0.00758,0.0849
WP4559,Interactions between immune cells and microRNAs...,8/1363,17/6992,0.00926,0.0983
WP5285,Immune infiltration in pancreatic cancer,8/1363,17/6992,0.00926,0.0983
WP4666,Hepatitis B infection,37/1363,131/6992,0.00933,0.0983
WP2880,Glucocorticoid receptor pathway,19/1363,57/6992,0.00936,0.0983
WP2118,Arrhythmogenic right ventricular cardiomyopathy,21/1363,65/6992,0.0096,0.0993
WP3,Transcriptional activation by NRF2 in response ...,7/1363,14/6992,0.00999,0.102
WP4478,LTF danger signal response pathway,6/1363,11/6992,0.0102,0.102
WP5501,GNAQ p R183Q drives capillary malformation,10/1363,24/6992,0.0104,0.103
WP306,Focal adhesion,48/1363,180/6992,0.0109,0.106
WP2911,miRNA targets in ECM and membrane receptors,9/1363,21/6992,0.0121,0.116
WP560,TGF beta receptor signaling,16/1363,47/6992,0.0132,0.12
WP2355,Corticotropin releasing hormone signaling,24/1363,79/6992,0.0133,0.12
WP5347,IL26 signaling,12/1363,32/6992,0.0135,0.12
WP474,Endochondral ossification,17/1363,51/6992,0.0136,0.12
WP4808,Endochondral ossification with skeletal dysplasias,17/1363,51/6992,0.0136,0.12
WP4816,TGF beta receptor signaling in skeletal dysplasias,17/1363,51/6992,0.0136,0.12
WP2374,Oncostatin M signaling,18/1363,55/6992,0.0138,0.121
WP2858,Ectoderm differentiation,35/1363,126/6992,0.0146,0.126
WP2291,Deregulation of Rab and Rab effector genes in b...,7/1363,15/6992,0.0156,0.129
WP2855,Dopaminergic neurogenesis,7/1363,15/6992,0.0156,0.129
WP4300,Extracellular vesicles in the crosstalk of card...,7/1363,15/6992,0.0156,0.129
WP5545,Fibrotic response of trabecular meshwork cells ...,7/1363,15/6992,0.0156,0.129
WP4149,White fat cell differentiation,11/1363,29/6992,0.0162,0.131
WP2637,Interleukin 1 IL 1 structural pathway,16/1363,48/6992,0.0164,0.131
WP4357,NRF2 ARE regulation,9/1363,22/6992,0.017,0.135
WP1533,Vitamin B12 metabolism,12/1363,33/6992,0.0176,0.138
WP364,IL6 signaling,14/1363,41/6992,0.0193,0.148
WP4534,Mechanoregulation and pathology of YAP TAZ via ...,14/1363,41/6992,0.0193,0.148
WP4538,Regulatory circuits of STAT3 signaling,20/1363,65/6992,0.0197,0.148
WP2895,Differentiation of white and brown adipocyte,8/1363,19/6992,0.0199,0.148
WP4540,Hippo signaling regulation,26/1363,90/6992,0.0199,0.148
WP313,Hepatocyte growth factor receptor signaling,12/1363,34/6992,0.0225,0.165
WP3877,MYD88 distinct input output pathway,7/1363,16/6992,0.0232,0.165
WP5088,Prostaglandin signaling,7/1363,16/6992,0.0232,0.165
WP5142,Calcium mediated T cell apoptosis involved in i...,7/1363,16/6992,0.0232,0.165
WP5218,Extrafollicular and follicular B cell activatio...,14/1363,42/6992,0.0239,0.166
WP5158,Urotensin II mediated signaling,18/1363,58/6992,0.024,0.166
WP4754,IL18 signaling,15/1363,46/6992,0.0242,0.166
WP2864,Apoptosis related network due to altered Notch3...,16/1363,50/6992,0.0243,0.166
WP1601,Fluoropyrimidine activity,10/1363,27/6992,0.0255,0.169
WP408,Oxidative stress response,10/1363,27/6992,0.0255,0.169
WP4496,Signal transduction through IL1R,10/1363,27/6992,0.0255,0.169
WP4190,Mevalonate arm of cholesterol biosynthesis pathway,6/1363,13/6992,0.0266,0.171
WP4585,Cancer immunotherapy by PD 1 blockade,6/1363,13/6992,0.0266,0.171
WP5092,Interactions of natural killer cells in pancrea...,6/1363,13/6992,0.0266,0.171
WP399,Wnt signaling and pluripotency,25/1363,88/6992,0.0271,0.172
WP4542,Leukocyte intrinsic Hippo pathway functions,11/1363,31/6992,0.0272,0.172
WP3929,Chemokine signaling,33/1363,123/6992,0.0285,0.177
WP2032,Thyroid stimulating hormone TSH signaling,17/1363,55/6992,0.0289,0.177
WP5395,Glycosaminoglycan synthesis in fibroblasts,13/1363,39/6992,0.029,0.177
WP98,Prostaglandin synthesis and regulation,13/1363,39/6992,0.029,0.177
WP2038,Microtubule cytoskeleton regulation,14/1363,43/6992,0.0293,0.177
WP2513,Nanoparticle triggered regulated necrosis,5/1363,10/6992,0.0295,0.177
WP2884,NRF2 pathway,29/1363,106/6992,0.03,0.178
WP455,GPCRs class A rhodopsin like,34/1363,128/6992,0.0304,0.179
WP4298,Acute viral myocarditis,20/1363,68/6992,0.0318,0.185
WP35,G protein signaling,24/1363,85/6992,0.0321,0.185
WP5293,Acute myeloid leukemia,19/1363,64/6992,0.0326,0.185
WP334,GPCRs class B secretin like,7/1363,17/6992,0.033,0.185
WP3529,Zinc homeostasis,10/1363,28/6992,0.033,0.185
WP43,Oxidation by cytochrome P450,10/1363,28/6992,0.033,0.185
WP5055,Burn wound healing,17/1363,56/6992,0.0341,0.19
WP4879,Overlap between signal transduction pathways co...,16/1363,52/6992,0.0348,0.191
WP4874,CAMKK2 pathway,25/1363,90/6992,0.0352,0.192
WP4008,NO cGMP PKG mediated neuroprotection,13/1363,40/6992,0.0355,0.192
WP2037,Prolactin signaling,20/1363,69/6992,0.0368,0.198
WP5098,T cell activation SARS CoV 2,19/1363,65/6992,0.038,0.203
WP4630,Measles virus infection,28/1363,104/6992,0.0395,0.209
WP5304,Cholesterol metabolism,17/1363,57/6992,0.0401,0.211
WP3972,PDGFR beta pathway,10/1363,29/6992,0.0418,0.217
WP2018,RANKL RANK signaling,15/1363,49/6992,0.0419,0.217
WP4875,Disruption of postsynaptic signaling by CNV,11/1363,33/6992,0.0428,0.217
WP5424,Omega 6 fatty acids in senescence,13/1363,41/6992,0.043,0.217
WP2849,Hematopoietic stem cell differentiation,12/1363,37/6992,0.0431,0.217
WP4263,Pancreatic adenocarcinoma pathway,23/1363,83/6992,0.0433,0.217
WP4533,Transcription co factors SKI and SKIL protein p...,7/1363,18/6992,0.0451,0.225
WP1992,Genes targeted by miRNAs in adipocytes,5/1363,11/6992,0.0455,0.225
WP4216,Chromosomal and microsatellite instability in c...,20/1363,71/6992,0.0487,0.237
WP3668,Hypothesized pathways in pathogenesis of cardio...,8/1363,22/6992,0.0489,0.237
WP4760,PKC gamma calcium signaling in ataxia,8/1363,22/6992,0.0489,0.237
WP5087,Pleural mesothelioma,86/1363,375/6992,0.0503,0.242
WP2870,Extracellular vesicle mediated signaling in rec...,9/1363,26/6992,0.0511,0.244
WP3646,Hepatitis C and hepatocellular carcinoma,13/1363,42/6992,0.0516,0.245
WP400,p38 MAPK signaling,11/1363,34/6992,0.0525,0.245
WP5346,8p23 1 copy number variation syndrome,11/1363,34/6992,0.0525,0.245
WP615,Senescence and autophagy in cancer,24/1363,89/6992,0.0528,0.246
WP5548,Blood based neuroinflammation markers ,6/1363,15/6992,0.0546,0.252
WP117,GPCRs other,16/1363,55/6992,0.0561,0.257
WP5094,Orexin receptor pathway,19/1363,68/6992,0.0578,0.263
WP734,Serotonin receptor 4 6 7 and NR3C signaling,7/1363,19/6992,0.0598,0.27
WP5113,Antiviral and anti inflammatory effects of Nrf2...,8/1363,23/6992,0.0626,0.279
WP727,Monoamine transport,8/1363,23/6992,0.0626,0.279
WP289,Myometrial relaxation and contraction pathways,35/1363,140/6992,0.0633,0.279
WP5356,Affected pathways in Duchenne muscular dystrophy,16/1363,56/6992,0.0649,0.279
WP1425,Bone morphogenic protein signaling and regulation,5/1363,12/6992,0.0659,0.279
WP3876,BMP2 WNT4 FOXO1 pathway in primary endometrial ...,5/1363,12/6992,0.0659,0.279
WP4211,Transcriptional cascade regulating adipogenesis,5/1363,12/6992,0.0659,0.279
