ID,direction,Description,cam_FDR,fg_FDR,cam_stat,fg_NES
GO:0002181,Down,NA,1.795499220244374e-13,5.323057482035116e-29,NA,-3.42976232213527
GO:0032757,Down,NA,1.3802117479050068e-4,2.804332392654607e-4,NA,-2.225669884101982
GO:0042274,Down,NA,4.404370970188386e-4,1.03748429861112e-6,NA,-2.569387995532545
GO:0050778,Down,NA,0.00108763823448462,0.01600950481129012,NA,-1.983580873455319
GO:0002503,Down,NA,0.00161456554651618,0.01618736715801807,NA,-1.9544767299180792
GO:0007159,Down,NA,0.00264356415847938,0.0019509664407077,NA,-2.105976723208058
GO:0002224,Down,NA,0.00264356415847938,0.0192200453284419,NA,-1.9134030089990597
GO:0071222,Down,NA,0.00268623592171599,6.7246938893446504e-6,NA,-2.2900758811690047
GO:0019886,Down,NA,0.0084931805983397,0.00915436457523768,NA,-1.9933004815814028
GO:0071276,Down,NA,0.00911996012482953,0.00425445586775836,NA,-2.054273793331353
GO:0002376,Down,NA,0.00911996012482953,0.00915436457523768,NA,-1.993373402905638
GO:0045766,Down,NA,0.01045788657607808,3.1750159271412066e-4,NA,-2.06660854656893
GO:0034341,Down,NA,0.01226511611944585,0.00731096784028375,NA,-2.014774570168943
GO:0043536,Down,NA,0.01425780846836557,0.00371001527064371,NA,-2.014797251122467
GO:0001570,Down,NA,0.02850548703043163,0.0019509664407077,NA,-2.058415826295988
GO:1901224,Down,NA,0.02985107480308707,0.00233197614530596,NA,-2.024120063614916
GO:0034097,Down,NA,0.03549250483970976,0.00313390053144747,NA,-2.03824334468723
GO:0006364,Down,NA,0.03684951441502938,0.00280720326772862,NA,-2.117413312314719
GO:0045669,Down,NA,0.03684951441502938,0.02516619263469836,NA,-1.8716579446802617
GO:1900182,Down,NA,0.03810235345273468,0.02474784780485208,NA,-1.8914205236144568
GO:0010718,Down,NA,0.03944032754649897,0.04044166299356291,NA,-1.8360135853565944
GO:0042742,Down,NA,0.04046752504160132,0.01521174176531589,NA,-1.82768956255474
GO:1902895,Down,NA,0.04432086945894142,0.00321836256414131,NA,-1.981384048679791
GO:0071260,Down,NA,0.04896231074252587,0.02932929575891607,NA,-1.7660824129189254
GO:0007268,Up,NA,4.21995784412563e-5,1.2778373054965996e-10,NA,2.5857518135564312
GO:0098703,Up,NA,3.30495374575923e-4,4.809442613428147e-4,NA,2.442127301979382
GO:0070588,Up,NA,5.79017567244205e-4,4.736365095663789e-7,NA,2.5647611045533196
GO:0060079,Up,NA,5.79017567244205e-4,2.910355213076042e-4,NA,2.336372377693145
GO:0014059,Up,NA,0.00159724496216293,7.472306392228792e-4,NA,2.3691409943980366
GO:0007612,Up,NA,0.00175988689118953,0.00147124403842275,NA,2.207719798556577
GO:0007218,Up,NA,0.00175988689118953,0.0019509664407077,NA,2.125157364156871
GO:0086002,Up,NA,0.00207487347414979,0.0019509664407077,NA,2.2702091335566355
GO:0060078,Up,NA,0.00355672949906109,0.0019509664407077,NA,2.240297798664869
GO:0016082,Up,NA,0.00359706822518594,0.00731096784028375,NA,2.169135553321862
GO:0006695,Up,NA,0.00359706822518594,0.00898441947450352,NA,2.061070097555793
GO:0034220,Up,NA,0.00995268290457295,0.0090695048713761,NA,1.985758345091364
GO:1903861,Up,NA,0.01045788657607808,0.0090695048713761,NA,2.180675180158598
GO:0035418,Up,NA,0.01136961233227523,0.0216964808933761,NA,2.0090024484583813
GO:0022038,Up,NA,0.01178359176808233,0.02703048849251761,NA,2.0337409732676273
GO:0007416,Up,NA,0.01737682426383347,0.00681683503451281,NA,2.0338427332057805
GO:0060291,Up,NA,0.02509555012215168,0.00231197721258813,NA,2.110693134144751
GO:0019228,Up,NA,0.02509555012215168,0.01971644623565429,NA,2.008600680894481
GO:0035235,Up,NA,0.03315763473878957,0.00387868714063513,NA,2.1670097364682
GO:0036092,Up,NA,0.03705988771114831,0.00313390053144747,NA,2.1678409113440664
GO:0061003,Up,NA,0.03705988771114831,0.01802522088545375,NA,2.0879758374064905
GO:0007026,Up,NA,0.03944032754649897,0.02745011645508003,NA,1.9334171279136072
GO:0019933,Up,NA,0.03944032754649897,0.04489310820384302,NA,1.9680777509403105
GO:0050808,Up,NA,0.04726702345883797,0.04966780644973519,NA,1.7785484224361656
