original_term_id,kept_term_id,pair_similarity,direction
GO:0006260,GO:0006270,0.665,Up
GO:0030174,GO:0006270,0.686,Up
GO:0006281,GO:0006270,0.606,Up
GO:0006261,GO:0006270,0.703,Up
GO:0006310,GO:0006270,0.695,Up
GO:0006397,GO:0000398,0.801,Up
GO:0008380,GO:0000398,0.719,Up
GO:0006396,GO:0000398,0.71,Up
GO:0007052,GO:0090307,0.726,Up
GO:0007080,GO:0000070,0.779,Up
GO:0006412,GO:0002181,0.952,Up
GO:0006302,GO:0036297,0.85,Up
GO:0006298,GO:0036297,0.85,Up
GO:0000724,GO:0036297,0.712,Up
