"original_id","symbol","mapped"
"107985736","LOC107985736",TRUE
"11223","MST1L",TRUE
"105376805","LOC105376805",TRUE
"9696","CROCC",TRUE
"23400","ATP13A2",TRUE
"6390","SDHB",TRUE
"11240","PADI2",TRUE
"400743","LINC02783",TRUE
"29943","PADI1",TRUE
"51702","PADI3",TRUE
"23569","PADI4",TRUE
"55920","RCC2",TRUE
"55160","ARHGEF10L",TRUE
"81569","ACTL8",TRUE
"84966","IGSF21",TRUE
"8659","ALDH4A1",TRUE
"126917","IFFO2",TRUE
"23352","UBR4",TRUE
"101927895","EMC1-AS1",TRUE
"23065","EMC1",TRUE
"51154","MRTO4",TRUE
"246181","AKR7L",TRUE
"22977","AKR7A3",TRUE
"100506730","LOC100506730",TRUE
"8574","AKR7A2",TRUE
"54896","SLC66A1",TRUE
"832","CAPZB",TRUE
"440574","MICOS10",TRUE
"100532736","MICOS10-NBL1",TRUE
"644068","RPS14P3",TRUE
"4681","NBL1",TRUE
"255104","TMCO4",TRUE
"105376823","LOC105376823",TRUE
"23252","OTUD3",TRUE
"5322","PLA2G5",TRUE
"101928017",NA,FALSE
"55450","CAMK2N1",TRUE
"79594","MUL1",TRUE
"163933","FAM43B",TRUE
"65018","PINK1",TRUE
"100861548","PINK1-AS",TRUE
"1650","DDOST",TRUE
"400745","SH2D5",TRUE
"112268222",NA,FALSE
"50809","HP1BP3",TRUE
"8672","EIF4G3",TRUE
"105376830","LOC105376830",TRUE
"105376829","LOC105376829",TRUE
"1889","ECE1",TRUE
"84224","NBPF3",TRUE
"249","ALPL",TRUE
"5909","RAP1GAP",TRUE
"84196","USP48",TRUE
"401944","LDLRAD2",TRUE
"3339","HSPG2",TRUE
"101928043","LINC01635",TRUE
"29092","LINC00339",TRUE
"112268223","CDC42-AS1",TRUE
"998","CDC42",TRUE
"9923","ZBTB40",TRUE
"2048","EPHB2",TRUE
"100422914","MIR4253",TRUE
"23028","KDM1A",TRUE
"7798","LUZP1",TRUE
"3352","HTR1D",TRUE
"100996511","LINC01355",TRUE
"10236","HNRNPR",TRUE
"80818","ZNF436",TRUE
"148898","ZNF436-AS1",TRUE
"6920","TCEA3",TRUE
"55616","ASAP3",TRUE
"1870","E2F2",TRUE
"101928163","LOC101928163",TRUE
"105376859","LOC105376859",TRUE
"3399","ID3",TRUE
"6135","RPL11",TRUE
"6924","ELOA",TRUE
"100506963","ELOA-AS1",TRUE
"57095","PITHD1",TRUE
"105376860","LOC105376860",TRUE
"11313","LYPLA2",TRUE
"2582","GALE",TRUE
"3155","HMGCL",TRUE
"2517","FUCA1",TRUE
"55629","PNRC2",TRUE
"10772","SRSF10",TRUE
"90529","STPG1",TRUE
"57185","NIPAL3",TRUE
"11123","RCAN3",TRUE
"100506985","NCMAP-DT",TRUE
"10250","SRRM1",TRUE
"25932","CLIC4",TRUE
"864","RUNX3",TRUE
"25949","SYF2",TRUE
"57035","RSRP1",TRUE
"6007","RHD",TRUE
"23585","TMEM50A",TRUE
"6006","RHCE",TRUE
"55219","MACO1",TRUE
"26119","LDLRAP1",TRUE
"57134","MAN1C1",TRUE
"57190","SELENON",TRUE
"56181","MTFR1L",TRUE
"646471","LOC646471",TRUE
"79000","AUNIP",TRUE
"164091","PAQR7",TRUE
"3925","STMN1",TRUE
"100500808","MIR3917",TRUE
"5051","PAFAH2",TRUE
"101928216",NA,FALSE
"2134","EXTL1",TRUE
"149420","PDIK1L",TRUE
"79927","FAM110D",TRUE
"51042","ZNF593",TRUE
"10256","CNKSR1",TRUE
"64793","CEP85",TRUE
"83442","SH3BGRL3",TRUE
"91544","UBXN11",TRUE
"79947","DHDDS",TRUE
"101928324","DHDDS-AS1",TRUE
"3151","HMGN2",TRUE
