cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES,in_consensus,solo_high_conf,final_reason,keep_final
2,GO:0000398,"mRNA splicing, via spliceosome",UP,0.2835685208374495,0.3805986972076217,1.806856636985967,GO,20,0.3805986972076217,1.806856636985967,FALSE,FALSE,fallback_topn_last_resort,TRUE
1,WP2446,Retinoblastoma gene in cancer,UP,0.5640456364413733,0.4521413064929939,1.54409590291477,WP,12,0.5640456364413733,1.54409590291477,FALSE,FALSE,fallback_topn_last_resort,TRUE
3,WP4905,1q21 1 copy number variation syndrome,UP,0.5933648942956924,0.6530133859724878,1.3301401239175692,WP,10,0.6530133859724878,1.3301401239175692,FALSE,FALSE,fallback_topn_last_resort,TRUE
6,WP2877,Vitamin D receptor pathway,UP,0.6665817325168194,0.6530133859724878,1.229438735496306,WP,12,0.6665817325168194,1.229438735496306,FALSE,FALSE,fallback_topn_last_resort,TRUE
12,GO:0006281,DNA repair,UP,0.6932218599711389,0.4914772596677201,1.6440528767275535,GO,17,0.6932218599711389,1.6440528767275535,FALSE,FALSE,fallback_topn_last_resort,TRUE
3,WP5083,Neuroinflammation and glutamatergic signaling,DOWN,0.2612900261949675,0.3073352141431498,-1.7301750269955332,WP,17,0.3073352141431498,1.7301750269955332,FALSE,FALSE,fallback_topn_last_resort,TRUE
4,WP481,Insulin signaling,DOWN,0.2612900261949675,0.3073352141431498,-1.6478853929067034,WP,15,0.3073352141431498,1.6478853929067034,FALSE,FALSE,fallback_topn_last_resort,TRUE
1,WP4666,Hepatitis B infection,DOWN,0.10275430194542504,0.3073352141431498,-1.6113511094822104,WP,12,0.3073352141431498,1.6113511094822104,FALSE,FALSE,fallback_topn_last_resort,TRUE
2,WP5345,1p36 copy number variation syndrome,DOWN,0.10275430194542504,0.3073352141431498,-1.4897170027946842,WP,50,0.3073352141431498,1.4897170027946842,FALSE,FALSE,fallback_topn_last_resort,TRUE
19,GO:0030308,negative regulation of cell growth,DOWN,0.04304963762839901,0.4103922190050324,-1.69573760060984,GO,10,0.4103922190050324,1.69573760060984,FALSE,FALSE,fallback_topn_last_resort,TRUE
