ID,NES,pval,padj,size,leadingEdge
GO:0051897,-1.611189356106983,0.0038124499601914358,0.05848933647260361,130,TGFB2;IL18;DDR2;HCLS1;FERMT2;TCF7L2;EGFR;HGF;NTRK2;F2RL1;F2R;FGFR1;MERTK;FGF2;DDR1;AGT;TREM2;CHI3L1;PTPN6;TGFB1;AXL;MFHAS1;NEDD4;RGL2;ANGPT1;GPX1;TGFBR1;XBP1;NKX3-1;PDGFRB;CAT;SESN2;VAV3;PRKD1;FGR;PARK7;MYORG;PHB1;ENG;PROS1;RAMP3;SIRT1;AKR1C3;MAZ;CSF1R;PIK3R5;FGFR3;IRS2;JAK2;PIK3AP1;ITGB1;PRR5
GO:0032733,-1.8152639486594844,0.003893614490133089,0.05859050969487781,25,TLR4;HGF;F2RL1;STAT3;RBM47;BCL3;TLR2;TREM2;TIGIT;LGALS9;SYK;PYCARD;CD274;TLR9;HSPD1
GO:0051085,-1.7740445300022023,0.003874370925931443,0.05859050969487781,18,CD74;HSPA1B;HSPA1A;DNAJB1;HSPA1L;PTGES3;DNAJB4;SDF2;SDF2L1;HSPA9;HSPE1;HSPA5
GO:0030308,-1.639071732700207,0.003914520745502428,0.05859050969487781,71,TGFB2;BTG1;BCL6;CDKN2C;SMAD4;GJA1;TP53;HSPA1B;HSPA1A;RACK1;PML;TGFB1;SERPINE2;FBP1;ENO1;MT3;INHBA;BST2;CDKN1A;SESN2;MSX1;NPR1;ING1;FHL1;STK11;PHB1;SIPA1;DAB2;CRYAB;HYAL1
GO:0010951,-1.7853285950607585,0.0040547295724834235,0.06019965437856438,13,SERPING1;TIMP1;SERPINB1;SERPINE1;CRB2;SERPINH1;SERPINE2;SERPINB6
GO:0060292,1.9124387598365358,0.004257321206598021,0.06220419318529331,13,ADORA1;GRM2;PICK1;GRIA1;PLK2;STXBP1;SHANK2
GO:0008610,1.9120772828099142,0.004257321206598021,0.06220419318529331,13,ACLY;ACSL1;ACSL4;AGPS;GPAT4;PRKAA2;PRKAA1;RICTOR;BCKDK;ACSS2;CLN8
GO:0002862,-1.7634162119452292,0.004362471126354334,0.062744604247018193,18,LYN;HLA-DRB1;YES1;TREM2;FYN;GPX1;SYK;FGR;GNAS;HCK
GO:1900745,-1.760380679038016,0.004362471126354334,0.062744604247018193,18,DSC2;MAP3K5;GADD45G;SPI1;GADD45A;GADD45B;MFHAS1
GO:0007214,1.75539686752437,0.004514965044673575,0.06393885113264655,21,GABRG3;PLCL1;SLC12A2;GABBR2;CACNB4;GABRA1;GABRB2;GABRB3;GABBR1;GABRA4
