ID,Description,NES,pval,padj,size,leadingEdge
WP5221,2q11 2 copy number variation syndrome,-1.4613756032060885,0.05654281098546042,0.18468890130297586,25,ITPRIPL1;ARID5A;ERBB2;PLXNB2;SNRNP200;LMAN2L;RHOA;MAPK3;CIAO2B
WP5053,Development of ureteric derived collecting system,-1.4119861027448355,0.0565149136577708,0.18468890130297586,41,TGFB2;GLI1;SALL1;SMO;EYA1;SPRY1;SMAD1;GLI2;VANGL2;BMPR1A;BMP7;TGFB1;GFRA1;GLI3;ANOS1;RARG;CTDNEP1;FREM2
WP5152,Iron sulfur cluster biogenesis,-1.506439524913343,0.057724957555178265,0.18767323409799816,15,ABCB7;FDX1;ISCU;CIAO2B;HSPA9;HSCB;FDXR
WP5158,Urotensin II mediated signaling,-1.3859510737708636,0.05847076461769116,0.1892178910544728,58,CDK2;HMOX1;EGFR;STAT3;RELA;NCF4;NCF2;PLN;ICAM1;VCAM1;TGFB1;CYBA;RHOA;ACTA2;IRF3;NFKB1;AIFM2;MAPK3;PCNA;CYBB;IL1B;SMAD2;HDAC5;ABCA1;JAK2;BAX;DDIT3;CASP9;BCL2;AKT1
WP3414,Initiation of transcription and translation elongation at the HIV 1 LTR,-1.436496487219021,0.06035889070146819,0.1944279474669413,31,NFATC1;HDAC7;NFATC2;RELA;NELFB;SP1;NFKBIA;HDAC1;NFATC3;SUPT5H;NFKB1;NELFA;HDAC5;NELFCD;SUPT4H1;HDAC4;CDK9
WP4925,Unfolded protein response,-1.460278900055598,0.061488673139158574,0.19715863543243964,23,BCL2L11;TP53;NFE2L2;CASP2;XBP1;TNFRSF10B;IL1B;TXNIP;HSPA5;ERN1;BID;DDIT3;BCL2
WP5331,Autophagy in pancreatic ductal adenocarcinoma,-1.4350110789557744,0.0625,0.199486301369863,19,STAT3;SQSTM1;TP53;NFE2L2;TFE3;NFKB1;TFEB;MAP1LC3B
WP3971,OSX and miRNAs in tooth development,-1.4868965432578918,0.0642361111111111,0.2040578017807619,11,NOTCH2;DKK1;RUNX2;NOTCH1;BMP7
WP5102,Familial partial lipodystrophy,-1.4294080588455718,0.06451612903225806,0.2040578017807619,26,PNPLA2;PRRX1;KLF5;LMNA;ZMPSTE24;BANF1;PPARA;STAT5B;PLIN1;LPL;LMNB2;GATA2;FNTA
WP5104,Acquired partial lipodystrophy Barraquer Simons syndrome,-1.468882428430653,0.06502636203866433,0.20474516695957823,10,CFB;LMNA;C5;LMNB2;FNTA;C3
WP1425,Bone morphogenic protein signaling and regulation,-1.4438279372749168,0.0658578856152513,0.20574960753532184,12,BMPR1B;SMAD4;SMAD1;RUNX2;BMPR1A;TOB1;TOB2;SMAD6
WP4534,Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms,-1.3904559643195094,0.06593406593406594,0.20574960753532184,41,ITGB4;YAP1;TEAD3;MAP4K1;ITGB8;TEAD4;WWTR1;TEAD1;TEAD2;PAK2;CTNNA1;ITGB2;ITGB5;ACTA2
WP3947,Serotonin and anxiety,1.4900958779355156,0.06862745098039216,0.20982142857142858,18,CAMK2B;CRH;PPP3CA;PRKCB;HTR2A;GABRA1
