Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol
57795,1170,-1.63,0.109,3.6e-52,7.02e-49,BRINP2
7832,17000,0.798,0.0685,1.85e-32,1.81e-29,BTG2
59352,6410,-1.56,0.137,3.12e-31,2.03e-28,LGR6
9068,415,1.3,0.124,3.07e-27,1.5e-24,ANGPTL1
2170,663,-0.994,0.103,3.67e-23,1.43e-20,FABP3
4881,2200,-1.14,0.121,3.38e-22,1.1e-19,NPR1
6273,1030,1.08,0.12,1.07e-20,2.98e-18,S100A2
3782,1430,0.744,0.0838,5.09e-20,1.24e-17,KCNN3
105371453,1500,0.817,0.094,2.69e-19,5.83e-17,NA
55450,6140,-0.687,0.0801,8e-19,1.56e-16,CAMK2N1
4985,4170,0.801,0.095,2.46e-18,4.35e-16,OPRD1
477,549,-1.09,0.13,2.67e-18,4.35e-16,ATP1A2
2590,3150,-0.792,0.0962,1.26e-17,1.89e-15,GALNT2
653513,799,0.877,0.109,7.59e-17,1.06e-14,NA
9890,1380,0.78,0.0983,1.6e-16,2.08e-14,PLPPR4
1806,8470,0.669,0.0873,1.49e-15,1.81e-13,DPYD
460,3170,-0.611,0.0801,1.99e-15,2.28e-13,ASTN1
23632,7350,-0.584,0.0775,4.45e-15,4.82e-13,CA14
5997,3100,0.65,0.0883,1.44e-14,1.48e-12,RGS2
3491,2110,0.797,0.109,1.72e-14,1.68e-12,CCN1
1382,322,1.03,0.144,4.53e-14,4.22e-12,CRABP2
100506343,1110,-0.664,0.0923,5.02e-14,4.45e-12,NA
101928718,1040,-0.662,0.0927,7.53e-14,6.39e-12,NA
56256,118,1.5,0.215,1.5e-13,1.22e-11,SERTAD4
112268238,260,1,0.144,2.16e-13,1.69e-11,NA
6487,1130,-0.903,0.135,1.37e-12,1.03e-10,ST3GAL3
3321,21300,-0.49,0.0726,1.62e-12,1.14e-10,IGSF3
101929388,176,-1.53,0.23,1.64e-12,1.14e-10,NA
2752,86300,-0.434,0.0648,2.79e-12,1.88e-10,GLUL
3766,12400,-0.492,0.0741,3.51e-12,2.29e-10,KCNJ10
116496,2790,-0.514,0.0779,4.53e-12,2.86e-10,NIBAN1
79805,944,-0.731,0.113,6.57e-12,4.01e-10,VASH2
3725,7010,-0.475,0.0784,7.07e-11,4.18e-09,JUN
10964,2390,-0.615,0.101,9.05e-11,4.96e-09,IFI44L
7042,1170,-0.62,0.102,9.09e-11,4.96e-09,TGFB2
105371625,67.5,-1.62,0.268,9.15e-11,4.96e-09,NA
55083,732,-0.613,0.101,1.03e-10,5.42e-09,KIF26B
55924,34900,-0.424,0.0699,1.76e-10,8.92e-09,INKA2
164118,343,0.845,0.142,1.78e-10,8.92e-09,TTC24
2899,22200,-0.533,0.0895,2.44e-10,1.19e-08,GRIK3
9563,3970,-0.559,0.094,2.63e-10,1.26e-08,H6PD
22955,4080,-0.551,0.0929,2.94e-10,1.37e-08,SCMH1
8863,1390,-0.499,0.086,6.71e-10,3.05e-08,PER3
81607,39.7,2.14,0.377,7.62e-10,3.38e-08,NECTIN4
149420,2570,-0.6,0.105,1.04e-09,4.53e-08,PDIK1L
23463,9170,-0.391,0.068,1.34e-09,5.7e-08,ICMT
26523,9510,0.395,0.069,1.56e-09,6.5e-08,AGO1
84824,97.3,1.22,0.221,1.66e-09,6.75e-08,FCRLA
54112,121,1.08,0.198,2.87e-09,1.14e-07,GPR88
8515,365,-0.753,0.137,2.97e-09,1.16e-07,ITGA10
3752,22100,-0.401,0.0714,3.04e-09,1.16e-07,KCND3
339479,890,-0.57,0.104,3.38e-09,1.25e-07,BRINP3
3716,7110,-0.395,0.0706,3.38e-09,1.25e-07,JAK1
29841,1300,0.507,0.0925,4.44e-09,1.61e-07,GRHL1
3398,701,0.676,0.127,7.53e-09,2.67e-07,ID2
1465,26700,-0.596,0.112,9.36e-09,3.26e-07,CSRP1
9283,930,-0.734,0.141,1.43e-08,4.92e-07,GPR37L1
107984958,198,0.798,0.155,1.76e-08,5.94e-07,NA
57185,3440,-0.388,0.0748,3.19e-08,1.06e-06,NIPAL3
79570,1050,-0.573,0.114,4.61e-08,1.5e-06,NKAIN1
100288142,4530,0.378,0.0747,6.64e-08,2.13e-06,NBPF20
8707,161,0.93,0.193,8.31e-08,2.62e-06,B3GALT2
51029,18400,-0.431,0.0887,1.5e-07,4.67e-06,DESI2
64802,1090,0.451,0.0938,1.84e-07,5.61e-06,NMNAT1
8799,1790,0.38,0.0783,1.93e-07,5.79e-06,PEX11B
63923,207,-0.727,0.155,1.99e-07,5.84e-06,TNN
284612,208,0.712,0.152,2e-07,5.84e-06,SYPL2
112268221,287,-0.66,0.141,2.12e-07,6.08e-06,NA
254268,1090,0.454,0.0956,2.42e-07,6.85e-06,AKNAD1
134,1890,-0.64,0.138,2.46e-07,6.87e-06,ADORA1
3915,77400,0.323,0.0665,2.88e-07,7.91e-06,LAMC1
79717,160,0.817,0.179,3e-07,8.13e-06,PPCS
100527950,1850,0.416,0.0886,3.54e-07,9.41e-06,NA
26292,1830,0.419,0.0892,3.57e-07,9.41e-06,MYCBP
388610,1110,-0.427,0.0932,6.08e-07,1.58e-05,TRNP1
127700,662,0.476,0.105,6.59e-07,1.68e-05,OSCP1
55827,5950,0.407,0.0889,6.64e-07,1.68e-05,DCAF6
128077,6990,-0.338,0.0714,7.01e-07,1.75e-05,LIX1L
2048,2810,-0.507,0.113,7.52e-07,1.86e-05,EPHB2
107985115,496,-0.495,0.111,8.33e-07,2.02e-05,NA
151354,1400,-0.455,0.101,8.38e-07,2.02e-05,LRATD1
105373440,817,0.476,0.106,8.59e-07,2.05e-05,NA
9507,4980,-0.404,0.0894,8.72e-07,2.05e-05,ADAMTS4
29101,4660,-0.36,0.0794,1.01e-06,2.35e-05,SSU72
400793,1270,-0.549,0.125,1.03e-06,2.38e-05,C1orf226
8704,2820,-0.547,0.125,1.09e-06,2.46e-05,B4GALT2
140609,4910,0.462,0.105,1.27e-06,2.86e-05,NEK7
2212,692,-0.518,0.119,1.3e-06,2.87e-05,FCGR2A
23612,1540,-0.512,0.118,1.5e-06,3.3e-05,PHLDA3
81563,10500,-0.317,0.0714,1.98e-06,4.29e-05,C1orf21
8412,1270,-0.421,0.0977,2.15e-06,4.62e-05,BCAR3
10446,362,-0.75,0.181,2.21e-06,4.69e-05,LRRN2
100996549,23.9,1.88,0.463,2.36e-06,4.95e-05,NA
4259,4800,-0.33,0.0764,2.98e-06,6.19e-05,MGST3
127829,4450,-0.419,0.0998,3.49e-06,7.18e-05,ARL8A
23400,562,-0.771,0.196,4.91e-06,1e-04,ATP13A2
1491,1500,-0.38,0.0918,5.15e-06,0.000104,CTH
9926,6190,0.342,0.0819,5.49e-06,0.000109,LPGAT1
8514,639,-0.551,0.138,5.53e-06,0.000109,KCNAB2
55624,5130,-0.41,0.1,5.65e-06,0.00011,POMGNT1
1031,7430,-0.329,0.0797,6.99e-06,0.000135,CDKN2C
347735,45.5,-1.23,0.327,7.93e-06,0.000152,SERINC2
3737,37900,-0.301,0.0731,8.82e-06,0.000167,KCNA2
105378803,58.2,1.1,0.299,1.08e-05,0.000203,LRRC53
126626,954,0.368,0.0928,1.21e-05,0.000224,GABPB2
7286,972,0.363,0.0915,1.22e-05,0.000225,TUFT1
64834,3170,-0.334,0.0843,1.42e-05,0.00026,ELOVL1
5142,11700,-0.282,0.0704,1.49e-05,0.000269,PDE4B
3140,504,0.475,0.125,1.53e-05,0.000273,MR1
7371,14800,-0.263,0.067,1.54e-05,0.000273,UCK2
