ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0099565,"chemical synaptic transmission, postsynaptic",0.00396823765655233,33,69,1.918299092212136,ADORA2A/ADRB2/ARRB2/BAIAP2/CDK5/CELF4/CHRNA5/DRD4/GLRB/GRIK2/GRIK5/GRIN2A/GRIN2C/MAPK8IP2/MET/MTMR2/NLGN1/NLGN3/NLGN4X/NRXN1/NTSR1/P2RX1/P2RX4/P2RX5/PRKCZ/RELN/RGS4/SLC29A1/SLC8A3/STX1A/STX1B/TRPV1/UNC13B
GO:0042445,hormone metabolic process,0.00396823765655233,57,141,1.6214636427402385,ADAM10/ADH1A/ADH1C/ADH6/AKR1C1/AKR1C2/AKR1C3/ALDH1A1/ALDH8A1/BCHE/BCO2/CMA1/CORIN/CTSB/CTSG/CTSL/CTSZ/CYP1A1/CYP1B1/CYP21A2/CYP26B1/CYP2D6/CYP3A5/DGAT2/DHRS11/DHRS3/DUOX1/ECE1/ESR1/GATA3/GHR/HIF1A/HSD17B3/HSD17B8/IDE/IL4I1/INHBA/LEP/LHCGR/P4HB/PAPSS2/PCSK1/PCSK2/PDE8B/PDGFRA/PLA2G7/RDH12/RDH13/RDH5/RETSAT/SDR16C5/SPP1/TCF7L2/TG/TIPARP/TPO/WNT4
GO:0031589,cell-substrate adhesion,0.00396823765655233,84,228,1.4777327935222673,ACTG1/ACTN1/ACTN2/ADAM9/ADAMTS9/ALOX15/ANGPT2/APOD/ATP1B2/BCL2/CALR/CCL28/CCR7/CD34/CD63/CDH11/CDH13/CDK5/COL5A3/CX3CL1/DAPK3/DDR1/EDA/EFNA5/EPB41L5/FBLN2/FBLN5/FERMT3/FLNA/FN1/FREM1/GBP1/GREM1/HOXA7/HPSE/ITGA10/ITGA4/ITGA5/ITGA7/ITGAM/ITGAV/ITGAX/ITGB2/ITGB3/ITGB4/JUP/KANK1/KDR/LAMB1/LAMC1/LIMS1/MAP4K4/MERTK/MIR29C/MMP12/MMP14/NTN4/P4HB/PARVB/PDGFB/PKP2/PLAU/POSTN/PREX1/PRKCZ/PTPRJ/PTPRO/RAC2/RHOD/SEMA3E/SERPINE1/SFRP1/SORBS1/SRCIN1/TACSTD2/TESK2/THBS1/THY1/TNXB/TYRO3/VCAM1/VWF/WNT4/ZYX
GO:0022612,gland morphogenesis,0.00487951502706133,42,96,1.7548076923076923,AR/BAX/BCL2/BMP4/BMP7/CSF1R/DDR1/EDA/EGFR/ELF3/ESR1/FBXW7/FGFR2/GDF7/GLI1/HGF/ID4/IGFBP5/LAMA1/LRP5/MSN/MSX2/NFIB/NTN4/PDGFA/PERP/PGR/PLAG1/PLXNA1/PROX1/RARG/SFRP1/SNAI2/SOX9/TBX2/TGFB1/TGFB3/TGM2/TNC/TP63/WNT4/WNT5A
GO:0170035,L-amino acid catabolic process,0.0051490148972147,28,56,2.0054945054945055,AASS/ADHFE1/ALDH4A1/ALDH8A1/ARG1/ARHGAP11B/CARNS1/CBS/CSAD/DDAH1/FTCD/GLS2/GPT/GPT2/HAL/HDC/HMGCLL1/IL4I1/KMO/KYNU/MCCC1/NOS1/NOS2/PRODH/SDS/SDSL/SHMT1/TDO2
GO:0170040,proteinogenic amino acid catabolic process,0.0051490148972147,28,56,2.0054945054945055,AASS/ADHFE1/ALDH4A1/AMT/ARG1/ARHGAP11B/CARNS1/CBS/CSAD/DDAH1/FTCD/GLS2/GPT/GPT2/HAL/HDC/HMGCLL1/IL4I1/KMO/KYNU/MCCC1/NOS1/NOS2/PRODH/SDS/SDSL/SHMT1/TDO2
GO:0007088,regulation of mitotic nuclear division,0.00518756463514771,34,73,1.868131868131868,AURKA/AURKB/BIRC5/BMP4/BMP7/BTC/BUB1/BUB1B/CCNB1/CDC20/CDC25C/CENPF/CHEK1/DAPK3/DLGAP5/ESPL1/KIF20B/LRP5/MAD2L1/MAD2L2/MKI67/NEK2/NUP62/PDGFB/PKMYT1/PLK1/RCC1/SMPD3/SPHK1/TOM1L2/TRIP13/TTK/UBE2C/USP44
GO:0060326,cell chemotaxis,0.00558567820629072,85,234,1.4569831877524184,ACKR2/ADAM10/ADGRE2/AGTR1/AIF1/ARRB2/BCAR1/C3AR1/CALR/CAMK1D/CCL14/CCL16/CCL18/CCL28/CCL3L3/CCL7/CCN3/CCR1/CCR2/CCR5/CCR7/CCRL2/CSF1R/CTSG/CX3CL1/CXADR/CXCL13/CXCL14/CXCL16/CXCL5/CXCL6/CXCR4/DAPK2/EGR3/ENG/F2RL1/FCER1G/FGF16/FGF18/GAB1/GREM1/HGF/IL16/IL34/ITGB2/KDR/KIT/LEF1/LGALS9/LGMN/MET/MIF/MMP28/MPP1/MSTN/NCKAP1L/NR4A1/P2RX4/PDGFB/PDGFD/PDGFRA/PERP/PGF/PLA2G7/PLEKHG5/PPBP/PPIB/PREX1/PTPRJ/PTPRO/RAB13/RAC2/RHOG/SAA1/SERPINE1/SMOC2/THBS1/THBS4/TNFSF11/TREM1/TRPM2/VAV1/VCAM1/VEGFB/WNT5A
GO:0006805,xenobiotic metabolic process,0.00592986371482015,31,65,1.912933220625528,ABCB1/ABCC2/ABCC4/AKR1C1/ALDH2/ALDH3A1/AS3MT/BCHE/CES3/CYP1A1/CYP1B1/CYP26B1/CYP2D6/CYP2E1/CYP2R1/CYP3A5/CYP4F12/EPHX1/FMO2/FMO5/GSTA4/GSTM2/GSTM3/GSTO1/GSTO2/NCEH1/NOS1/RORA/RORC/SLC29A1/SLCO2B1
GO:0060078,regulation of postsynaptic membrane potential,0.00657734498265058,36,80,1.8049450549450547,ADORA2A/ADRB2/ARRB2/BAIAP2/CDK5/CELF4/CHRNA5/DRD4/GABBR1/GABRE/GLRB/GRIK2/GRIK5/GRIN2A/GRIN2C/KCNA2/MAPK8IP2/MET/MTMR2/NLGN1/NLGN3/NLGN4X/NRXN1/NTSR1/P2RX1/P2RX4/P2RX5/PRKCZ/RELN/RGS4/SLC29A1/SLC8A3/STX1A/STX1B/TRPV1/UNC13B
