ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0033046,negative regulation of sister chromatid segregation,2.2834309648690456e-5,11,26,6.691619342626054,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CENPF/MAD2L1/PLK1/TRIP13/TTK
GO:0034113,heterotypic cell-cell adhesion,3.2060304431733614e-5,13,38,5.410926645472743,APOA1/CTNNA3/DSC2/DSG2/DSP/FGA/FGB/FGG/ITGB3/MBP/PERP/PKP2/VCAM1
GO:0051985,negative regulation of chromosome segregation,3.355563420707683e-5,11,27,6.443781589195459,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CENPF/MAD2L1/PLK1/TRIP13/TTK
GO:0055008,cardiac muscle tissue morphogenesis,4.3789819335761086e-5,15,52,4.562467733608673,ACTC1/DSP/ENG/HAND1/ISL1/MYH6/MYL3/PKP2/PROX1/TBX20/TCAP/TNNC1/TNNI1/TNNI3/WNT2
GO:0003228,atrial cardiac muscle tissue development,4.38831544227898e-5,9,18,7.9082774049217,ENG/GATA6/ISL1/MYH6/PROX1/TBX3/TBX5/WNT2/ZIC3
GO:0051301,cell division,7.952218065721419e-5,49,377,2.0557325880167814,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE2/CDC20/CDC25C/CDC6/CDCA5/CDK1/CDT1/CENPA/CENPF/CKS1B/ESPL1/IGF2/IQGAP3/KIF23/KIF2C/KIF4A/MAD2L1/NCAPG2/NCAPH/NEK2/NKX3-1/PAX6/PDGFA/PLK1/POU3F2/PSRC1/PTTG1/RACGAP1/SEPTIN5/SFN/SHH/SMC4/TACC3/TGFA/TIMELESS/TOP2A/TPX2/TUBA1B/UBE2C/WNT3A/WNT7A
GO:0003229,ventricular cardiac muscle tissue development,8.782886287764644e-5,15,55,4.313605857230018,ADAMTS9/DSG2/DSP/ENG/HAND1/ISL1/MYH6/MYL3/PKP2/PROX1/TBX3/TBX5/TNNC1/TNNI1/TNNI3
GO:0003012,muscle system process,9.280360167848615e-5,41,293,2.213238045063411,ACTA1/ADRA2A/AGT/AKAP6/CASQ1/CNN1/CTNNA3/DSC2/DSG2/DSP/FBXO32/GATA6/GATM/HAND2/HMOX1/HTR1D/ITGA2/KCNH2/KCNMA1/KIT/MYH11/MYH6/MYL3/NPPA/OXTR/PKP2/PLN/PPARA/PTGS2/RGS4/RYR3/STC1/TBX2/TBX20/TBX3/TCAP/TMOD1/TNNC1/TNNI1/TNNI3/TRDN
GO:0140694,membraneless organelle assembly,1.3834632389873148e-4,35,236,2.3456755014598265,ACTA1/ACTC1/AURKA/AURKB/BIRC5/BSCL2/CASQ1/CCNB2/CDC20/CDS1/CENPA/CENPF/CSRP1/DLGAP5/KIF15/KIF23/KIF4A/KRT19/KRT8/LDB3/MYBL2/MYH11/MYH6/NEK2/PGM5/PLK1/PLK4/PROX1/RACGAP1/TCAP/TMOD1/TPX2/UHRF1/VIL1/WDR62
GO:1901988,negative regulation of cell cycle phase transition,2.48320231996952e-4,26,154,2.6703274354281064,AURKB/BIRC5/BUB1/BUB1B/CCL2/CCNB1/CDC20/CDC45/CDC6/CDK1/CDKN2B/CDT1/CENPF/CLSPN/E2F1/FANCD2/GPR132/H2AX/MAD2L1/ORC1/PKMYT1/PLK1/PROX1/TIMELESS/TRIP13/TTK
GO:0045132,meiotic chromosome segregation,2.7439137808211945e-4,12,40,4.744966442953021,AURKA/CCNB2/CCNE2/ESPL1/FANCD2/NCAPH/PLK1/PTTG1/REC8/SMC4/TRIP13/TTK
GO:0051784,negative regulation of nuclear division,2.966369631717534e-4,11,34,5.117120673772865,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CENPF/MAD2L1/PLK1/TRIP13/TTK
GO:0010927,cellular component assembly involved in morphogenesis,3.4013251306540824e-4,17,78,3.4471978431709975,ACTA1/ACTC1/CASQ1/CD9/CSRP1/GPC1/ITGB4/KRT19/KRT8/LDB3/MYH11/MYH6/PGM5/PLN/PROX1/TCAP/TMOD1
