ID,Description,NGenes,Direction,PValue,FDR
WP3301,MFAP5 mediated ovarian cancer cell motility and invasiveness,13,Down,0.03039397695935876,0.3035116854110614
WP4767,FGFR3 signaling in chondrocyte proliferation and terminal differentiation,26,Down,0.03171682252251747,0.3105914795895277
WP4949,16p11 2 proximal deletion syndrome,69,Up,0.03208326610173337,0.3105914795895277
WP3892,Development of pulmonary dendritic cells and macrophage subsets,10,Up,0.03241716430130473,0.3105914795895277
WP111,Electron transport chain OXPHOS system in mitochondria,103,Down,0.03345288683693068,0.31624129023178466
WP241,One carbon metabolism,25,Up,0.03692666590177565,0.33870125494773856
WP2359,Parkin ubiquitin proteasomal system pathway,62,Up,0.036927835634200115,0.33870125494773856
WP268,Notch signaling,40,Up,0.03726191521286828,0.33870125494773856
WP3875,ATR signaling,11,Up,0.039097034307918624,0.3454914530003253
WP5382,TGFB Smad signaling,12,Down,0.03981588101424242,0.3454914530003253
WP4905,1q21 1 copy number variation syndrome,24,Down,0.03997030408068901,0.3454914530003253
WP2333,Trans sulfuration pathway,10,Up,0.040813163394696324,0.3454914530003253
WP5150,Spina bifida,11,Up,0.04093260621159074,0.3454914530003253
WP4153,Degradation pathway of sphingolipids including diseases,15,Down,0.04140478258503564,0.3454914530003253
WP4553,FBXL10 enhancement of MAP ERK signaling in diffuse large B cell lymphoma,21,Up,0.04141999083924915,0.3454914530003253
WP3876,BMP2 WNT4 FOXO1 pathway in primary endometrial stromal cell differentiation,12,Down,0.04234298660064983,0.3490834593007061
WP5193,Cholesterol synthesis disorders,17,Down,0.043920075432129106,0.35367603983513113
WP2036,TNF related weak inducer of apoptosis TWEAK signaling,37,Up,0.04426586102806283,0.35367603983513113
WP4225,Pyrimidine metabolism and related diseases,17,Up,0.044937868764682136,0.35367603983513113
WP5113,Antiviral and anti inflammatory effects of Nrf2 on SARS CoV 2 pathway,26,Up,0.04528445452759387,0.35367603983513113
WP4786,Type I collagen synthesis in the context of osteogenesis imperfecta,29,Down,0.0453942448871607,0.35367603983513113
WP3947,Serotonin and anxiety,10,Down,0.04602700384463209,0.3547081057156973
WP2064,Neural crest differentiation,80,Up,0.04704187641917713,0.3586310793677052
WP3611,Photodynamic therapy induced AP 1 survival signaling,45,Down,0.05056922352076388,0.3764037208545113
WP2572,Primary focal segmental glomerulosclerosis FSGS,67,Down,0.050578434017234504,0.3764037208545113
WP306,Focal adhesion,185,Down,0.05096580705505371,0.3764037208545113
