ID,NES,pval,padj,size,leadingEdge
GO:0048668,-1.079627035632119,0.3825910931174089,0.727283464566929,10,CD2AP;LPAR3;PRKG1
GO:0007413,1.0619260180938284,0.3829787234042553,0.727283464566929,12,CASP3;EPHB2;CNR1
GO:0045454,1.0558186153409628,0.3844621513944223,0.727283464566929,27,NQO1;EGLN2;GIT1;GLRX5;TXNRD1;APEX1;TXN2;DDIT3;GPX1;NFE2L2
GO:0032691,1.0520651460276897,0.38372093023255816,0.727283464566929,17,GIT1;RAD21;ARRB2;FFAR1;TNFAIP3;CHRFAM7A
GO:0001953,-1.0498237986153955,0.38556701030927837,0.727283464566929,12,PIK3R1;POSTN;CDKN2A;BCL6;RASA1;THBS1;NF1
GO:0042113,-1.0481607396683341,0.38188976377952755,0.727283464566929,26,RASGRP1;FCRL5;PRKCB;C3;ICOSLG
GO:0034599,1.037515437476042,0.3834862385321101,0.727283464566929,74,NQO1;ABL1;SNCA;PARP1;FANCD2;G6PD;SLC7A11;PPIA;NR4A2;ATF4;SESN2;PRKD1;PYCR1;ABCC1;EIF2S1;FANCC;LONP1;SELENON;STK25
GO:0007411,1.035083093817663,0.38240574506283664,0.727283464566929,114,NRP2;WNT3A;SEMA3E;FEZ1;PAX6;DPYSL5;KIF5C;BOC;CDH4;EPHB2;EFNA2;NOTCH2;SLIT1;EVL;GDF7;GBX2;GLI3;DCC;NOTCH3;PTK2;LMX1A;ROBO3;EFNB1;KLF7
GO:0043069,1.034425231350922,0.3850574712643678,0.727283464566929,16,KIT;NUP62;TMEM109;PSMC5
GO:0006611,-1.0324499677300762,0.385395537525355,0.727283464566929,20,SFN;EGR2;STRADB;CHP1;TGFB1;SMURF1;XPO4
GO:0042594,1.0435979543605132,0.3866396761133603,0.7280877017719123,26,CPS1;ULK3;CAD;ULK1;DDIT3;GNPAT;YARS1;PCK2;PFKFB1;ADM;ADSL
GO:0045671,-1.045362084555085,0.3885480572597137,0.7287692417259307,13,PIK3R1;INPP5D;FBN1
GO:0060041,1.0370870184941836,0.387523629489603,0.7287692417259307,39,LAMC3;PAX6;RRM1;DLL1;SKI;NPHP4;XRN2;CHD7;BAX;RORB;BMPR1B;RP1;GNB1;BBS1
GO:0007219,1.0320361914142238,0.3880597014925373,0.7287692417259307,79,CDH6;DTX1;NFKBIA;ZNF423;CHAC1;SNAI2;HES1;DLX2;NOTCH2;EPN1;DLL1;APH1A;MAML2;NLE1
GO:0001755,-1.0242540608667583,0.3885480572597137,0.7287692417259307,29,SHH;SEMA6A;ISL1;SOX8;SEMA7A;ACVR1;HIF1A;TBX1;SEMA6D
GO:0032147,1.0280098891844978,0.3893129770992366,0.7294780932724265,15,TPX2;CLSPN;ECT2;STK11;AXIN1
GO:0000422,-1.057790404026832,0.39094650205761317,0.7313928557967111,17,WIPI1;SLC25A46;CDKN2A;RB1CC1;BNIP3
