ID,Description,NES,pval,padj,size,leadingEdge
WP4921,Mitochondrial complex III assembly,0.9796775768487753,0.48084291187739464,0.7730558379162649,16,BCS1L;UQCRQ;UQCC1;CYC1;UQCRC1;UQCC2
WP2374,Oncostatin M signaling,-0.9929286223950731,0.4819532908704883,0.7730879711022087,55,FOS;EGR1;PIK3R1;PRKCB;PTK2B;IL6ST;VEGFA;STAT1;PRKCH;HIF1A;SOS1
WP2112,IL17 signaling,0.9785116792925962,0.4860557768924303,0.7761566347223718,27,CEBPB;MAP3K14;TRAF3;NFKB1;JAK2;RELA
WP299,Nuclear receptors in lipid metabolism and toxicity,-0.9678677414419965,0.48588709677419356,0.7761566347223718,23,CYP24A1;PPARA
WP4255,Non small cell lung cancer,0.9809466687784562,0.48794063079777367,0.7770109320798123,72,CASP3;CRABP1;CDK4;PRKCA;E2F1;TGFA;TP53;PLCG1;E2F2;HRAS;EGFR;RASSF1;RXRB;AKT3;GADD45B;GADD45G;RXRA;NRAS;PIK3R2;AKT1;AKT2;BAX
WP5050,TCA cycle in senescence,-0.9792606621892792,0.4898785425101215,0.7770109320798123,10,ME1;PDK1;MDH1;PDP2;GOT1;PDHA1;ME2;BRAF
WP2814,Mammary gland development puberty stage 2 of 4,-0.9710620436346576,0.48906560636182905,0.7770109320798123,11,FN1;EGF
WP58,Monoamine GPCRs,-0.9500415659977305,0.49176954732510286,0.7782692166372722,17,HTR1D;CHRM3;HTR1B;ADRA2A;HRH2;CHRM2
WP3933,Kennedy pathway from sphingolipids,-0.9715675702537393,0.49382716049382713,0.7786175710594315,14,CEPT1;PCYT1A;ETNK1
WP3935,Leptin insulin signaling overlap,0.968055897730683,0.4941860465116279,0.7786175710594315,14,SOCS1;JAK2;SOCS3;IRS2;AKT1;PIK3R3;DGKZ;IRS1;IRS4
WP5145,COVID 19 structural coverage map,0.9695641107061299,0.497029702970297,0.7811167639998566,25,MACROH2A2;PARP14;CMTR1;MRM2;AQR;UBB;UPF1;UBC;MACROD2;NRP1;TAB1;UBA52
WP167,Eicosanoid synthesis,-0.957928512702977,0.4979757085020243,0.7811167639998566,18,PTGS2;PTGES
WP4148,Splicing factor NOVA regulated synaptic proteins,-0.9667798928447834,0.5020833333333333,0.7820489344633951,40,KCNMA1;CAV2;CADM1;STXBP2;PRKCZ;RAP1GAP;TERF2IP;ATP2B1;ANK3;PLCB4
WP5153,N glycan biosynthesis,0.959307996755491,0.5028142589118199,0.7820489344633951,56,ST6GAL2;MGAT1;DOLPP1;ALG10B;DPM2;B4GALT2;ALG3;B4GALT3;SRD5A3;MGAT5B;ALG1;GANAB;DOLK
WP5409,PAFAH1B1 copy number variation,-0.9564518512418348,0.5029821073558648,0.7820489344633951,11,CLIP1;NDEL1;RELN;DCX;VLDLR;PAFAH1B2
WP3869,Cannabinoid receptor signaling,-0.9539993828440612,0.5010060362173038,0.7820489344633951,25,ADCY7;PRKACB;PRKAR2B;NAPEPLD;FAAH;PRKAR1A;MAPK13;MAPK14;MAPK8
WP3529,Zinc homeostasis,-0.9541309172584853,0.5060483870967742,0.785094762476177,23,SLC30A4;SLC30A5;SLC30A7;SLC39A8;MT1X;SLC30A10;SLC39A6;SLC30A3;SLC30A9;SLC39A14;SLC30A6;SLC30A1;SLC39A11
WP2380,Brain derived neurotrophic factor BDNF signaling,0.975694091813481,0.5081967213114754,0.786706278187415,133,NTRK3;CASP3;GRIA1;NFKBIA;NTRK2;CTNNB1;EIF4EBP1;MARCKS;CNR1;PLCG1;DOK5;YBX1;NFKB1;HRAS;DPYSL2;SH2B1;JAK2;RELA;NFATC4;IRS2;RACK1
WP5053,Development of ureteric derived collecting system,-0.9710939085360851,0.5093945720250522,0.7868425960038389,45,ANOS1;SHH;DCN;BMP2;FRAS1;BMPR2;WNT11;BMP4;GPC3;TGFB1;FREM2;GRIP1;BMP5
WP5120,Inclusion body myositis,-0.9638093713930036,0.5121457489878543,0.7876601649292596,10,PSEN2;APP;PSEN1
WP3591,Sleep regulation,-0.9483068015387437,0.5120967741935484,0.7876601649292596,23,FOS;OXTR;IL18;DLAT
WP524,G13 signaling,-0.9688268022802237,0.5136268343815513,0.7882281938885711,36,PIK3CA;RTKN;WASL;IQGAP2;SH3RF1;CFL2;PPP1CB;ROCK1;CALM1;DIAPH1;IQGAP1
WP5316,Primary ovarian insufficiency,0.9808859825174283,0.5197841726618705,0.7931061394380853,137,AFF2;WDR62;KIT;FANCA;KHDRBS1;EXO1;PARP1;PSMC3IP;POLR3H;MCM8;XRCC2;NOTCH2;BRCA1;BRCA2;EIF2B5;HAX1;NUP107;RECQL4;ERAL1;SELENBP1;KDR;SOHLH2;MGME1;XRCC6;FANCC;RAD51;AARS2;MND1;AKT1;CBX2;PCCB;CLPP;FANCG;ANTXR1;BMPR1B;POLR2C;HDX;LHX8;PGRMC1;TWNK;XPO5;DMC1
WP2037,Prolactin signaling,0.9710764793089265,0.5194805194805194,0.7931061394380853,72,CASP3;NFKBIA;SOCS1;EIF4EBP1;RPS6KA2;NFKB1;PPIA;HRAS;MYC;CTSD;JAK2;RELA;SOCS3;PTK2;IRS2;PXN;TEC;FLNA;PIK3R2;AKT1
WP5496,Targeted therapy in breast cancer,-0.9411452487279185,0.5201612903225806,0.7931061394380853,23,PIK3R1;ERBB3;PIK3CA;PIK3C2A;PIK3C2G
WP4481,Resistin as a regulator of inflammation,0.9510103584184926,0.5282651072124757,0.7957351290684624,29,NFKBIA;PLCG1;NFKB1;RELA;AKT3;AKT1;AKT2
WP5531,AKT signaling and ARTD family members,-0.946045931292615,0.5241090146750524,0.7957351290684624,31,PIK3R1;FOXO1;PIK3CA;PIK3C2A;GSK3B;PIK3C2G;PDK1
WP5433,PGK1 PKM2 KHKC KHKA acting as protein kinases,0.9431959156273483,0.5267175572519084,0.7957351290684624,15,H2AX;BUB3
WP5395,Glycosaminoglycan synthesis in fibroblasts,0.9428224891330667,0.5298507462686567,0.7957351290684624,38,B3GAT3;HS3ST3B1;HS6ST1;B3GALT6;CHST14;CHST1;CHSY1;EXTL3;NDST1
WP712,Estrogen signaling,-0.939171164654593,0.530241935483871,0.7957351290684624,21,FOS;PIK3CA
WP5192,Modulation of PI3K Akt mTOR signaling by bioactive sphingolipids,-0.9341129158321041,0.5267489711934157,0.7957351290684624,14,PLD1;PIK3CA;HIF1A;ASAH2
WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,-0.933404388931596,0.524390243902439,0.7957351290684624,22,FOS;EPHX1
WP5101,Congenital generalized lipodystrophy,-0.9224320252589505,0.5308641975308642,0.7957351290684624,17,PIK3CA;GPAT3;LPIN1;ITGB4;HIF1A
WP4262,Breast cancer pathway,0.9685158287432686,0.5328467153284672,0.7962713387241689,135,WNT3A;CDK4;AXIN2;KIT;CTNNB1;E2F1;TP53;PARP1;APC2;HES1;FGFR1;FZD2;NOTCH2;DLL1;FZD10;BRCA1;BRCA2;E2F2;HRAS;MYC;DVL2;NOTCH3;SFRP4;AXIN1;EGFR;LRP5;FGF5;AKT3;GADD45B;SHC3;RAD51;GADD45G;MRE11;IGF1R;NRAS;PIK3R2;AKT1;AKT2;BAX;SP1;DLL3;FZD3;BAK1;MAP2K2;PIK3CD;RPS6KB2;NOTCH1;PIK3R3;JUN;WNT2B
