ID,Description,p.adjust,k,stability,selected,collection,consensus,keep_final
GO:0035249,"synaptic transmission, glutamatergic",0.01565971088971324,30,0.32,FALSE,GO,FALSE,FALSE
GO:0001764,neuron migration,0.03776135666214644,38,0.295,FALSE,GO,FALSE,FALSE
GO:0010976,positive regulation of neuron projection development,0.0431650631290213,32,0.27,FALSE,GO,FALSE,FALSE
GO:0006813,potassium ion transport,8.677222456574849e-4,40,0.24,FALSE,GO,FALSE,FALSE
GO:0060291,long-term synaptic potentiation,0.01754337021397122,25,0.235,FALSE,GO,FALSE,FALSE
GO:0042060,wound healing,9.213771875497766e-7,89,0.18,FALSE,GO,FALSE,FALSE
GO:0045088,regulation of innate immune response,1.6155221125926974e-5,86,0.175,FALSE,GO,FALSE,FALSE
GO:0002437,inflammatory response to antigenic stimulus,0.03699255538394613,17,0.175,FALSE,GO,FALSE,FALSE
GO:0051056,regulation of small GTPase mediated signal transduction,0.00934836326445558,52,0.09,FALSE,GO,FALSE,FALSE
GO:0010043,response to zinc ion,0.03973914006134044,14,0.09,FALSE,GO,FALSE,FALSE
GO:0007416,synapse assembly,0.01407566986559613,44,0.055,FALSE,GO,FALSE,FALSE
GO:0043087,regulation of GTPase activity,0.00871547691114529,32,0.025,FALSE,GO,FALSE,FALSE
GO:0030198,extracellular matrix organization,0.02761534519440904,46,0.025,FALSE,GO,FALSE,FALSE
GO:0006909,phagocytosis,3.5568750578374956e-4,48,0.02,FALSE,GO,FALSE,FALSE
GO:0060326,cell chemotaxis,8.275615333243631e-4,57,0.01,FALSE,GO,FALSE,FALSE
GO:0042554,superoxide anion generation,0.01861027214446733,13,0.005,FALSE,GO,FALSE,FALSE
GO:0006959,humoral immune response,7.441797244924399e-5,38,0,FALSE,GO,FALSE,FALSE
GO:0050727,regulation of inflammatory response,1.1717487744472044e-4,70,0,FALSE,GO,FALSE,FALSE
GO:0050807,regulation of synapse organization,9.791530794174628e-4,59,0,FALSE,GO,FALSE,FALSE
GO:0017157,regulation of exocytosis,0.00411758457272751,41,0,FALSE,GO,FALSE,FALSE
GO:0021675,nerve development,0.00790729898740572,25,0,FALSE,GO,FALSE,FALSE
GO:0051402,neuron apoptotic process,0.01051341432910815,61,0,FALSE,GO,FALSE,FALSE
GO:0016079,synaptic vesicle exocytosis,0.01754337021397122,25,0,FALSE,GO,FALSE,FALSE
GO:0097028,dendritic cell differentiation,0.01861027214446733,13,0,FALSE,GO,FALSE,FALSE
GO:2000379,positive regulation of reactive oxygen species metabolic process,0.0212903200718309,20,0,FALSE,GO,FALSE,FALSE
GO:0060078,regulation of postsynaptic membrane potential,0.0263028956630568,35,0,FALSE,GO,FALSE,FALSE
GO:0051259,protein complex oligomerization,0.03840431317950322,44,0,FALSE,GO,FALSE,FALSE
